" The customer does not exist in the system anymore."," Khách hàng không còn sử dụng hệ thông nữa."
" [deleted]"," [xóa]"
" and "," và "
"%s (Default Template from Locale)","Template %s mặc định từ Locale"
"%s cache type(s) disabled.","Bộ nhớ cache %s đang bị vô hiệu hoá"
"%s cache type(s) enabled.","Bộ nhớ cache %s đang được kích hoạt."
"%s cache type(s) refreshed.","Bộ nhớ cache %s đã được làm mới."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(Nếu để trống sẽ được tạo tự động)"
"(Leave empty for first spreadsheet)","(Để trống speadsheet đầu tiên)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Shift-)Click or drag to change value","(Shift-)Click or kéo chuột để thay đổi giá trị"
"(Starting with)","(Bắt đầu với)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Bạn phải tăng bộ nhớ memory_limit của php trước khi thay đổi giá trị)"
"(\\t for tab)","(\\t nút tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - If indexing is in progress, it will be killed and new indexing process will start."
"* Required Fields","* cái fields được yêu cầu"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Sử dụng nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Sử dụng %s, nút %s để chọn năm"
"- or Shift-click to decrease it","- or để giảm giá trị nhấn Shift-click"
"- or click and drag for faster selection.","- or click and kéo cho lựa chọn nhanh."
"-- Not Selected --","-- Không chọn --"
"-- Please Select --","-- Xin vui lòng nhập vào --"
"-- Please Select Billing Agreement--","-- Xin vui lòng chọn Billing Agreement--"
"-- Please Select a Category --","-- Xin vui lòng chọn danh mục --"
"-- Please select --","-- Xin vui lòng chọn --"
"--Please Select--","--Xin vui lòng chọn--"
"1 Hour","1 giờ"
"12 Hours","12 giờ"
"12h AM/PM","12 giờ AM/PM"
"2 Hours","2 giờ"
"24 Hours","24 giờ"
"24h","24 giờ"
"2YTD","2YTD"
"6 Hours","6 giờ"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Lỗi 404</h1><p>Không tìm thấy trang.</p>"
"<strong>%s</strong> requests access to your account","Yêu cầu truy cập <strong>%s</strong> tới tài khỏan của bạn"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Captcha là trường hợp nhạy cảm."
"A user with the same user name or email aleady exists.","Đã tồn tại người dùng sử dụng user_name và email này."
"API Key","API Key"
"API Key Confirmation","API Key Confirmation"
"ASCII","ASCII"
"Abandoned Carts","Abandoned Carts"
"About the calendar","About the calendar"
"Access Denied","Truy cập bị từ chối"
"Access denied","Truy cập bị từ chối"
"Access denied.","Truy cập bị từ chối."
"Account Created in:","Account Created in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Account Created on:"
"Account Information","Thông tin tài khỏan"
"Account Status","Trạng thái tài khỏan"
"Account status","Trjang thái tài khỏan"
"Action","Hành động"
"Actions","Hành động"
"Actions XML","Actions XML"
"Active","Active"
"Add","Thêm"
"Add Exception","Thêm ngọai lệ"
"Add Field Mapping","Add Field Mapping"
"Add Field with URL:","Thêm một trường vớiURL:"
"Add New","Thêm mới"
"Add New Image","Thêm mới hình ảnh"
"Add New Profile","Thêm thông tin cá nhân"
"Add New Role","Thêm vai trò"
"Add New Template","Thêm Template mới"
"Add New URL Rewrite","thêm mới URL Rewrite"
"Add New User","Thêm mới người dùng"
"Add New Variable","Thêm biến mới"
"Add Products","Thêm sản phẩm"
"Add URL Rewrite","Thêm mới URL Rewrite"
"Add URL Rewrite for a Category","Thêm URL Rewrite cho danh mục"
"Add URL Rewrite for a Product","Thêm URL Rewrite cho sản phẩm"
"Add after","Thêm after"
"Additional Cache Management","thêmCache Management"
"Address Type:","Lọai địa chỉ:"
"Admin","Admin"
"Advanced Admin Section","Advanced Admin Section"
"Advanced Profiles","Advanced Profiles"
"Advanced Section","Advanced Section"
"After authorization application will have access to you account.","After authorization application will have access to you account."
"All","Tất cả"
"All Allowed Countries","Tất cả các nước được cho phép"
"All Cache","Tất cả Cache"
"All Files","Tất cả Files"
"All Reviews","Tất cả Reviews"
"All Store Views","Tất cả Store Views"
"All Tags","Tất cả Tags"
"All Websites","Tất cả Websites"
"All countries","Tất cả các nước"
"All fields","Tất cả các trường"
"All possible rates were fetched, please click on ""Save"" to apply","Tất cả các rates tìm năng được lấy, xin vui lòng lick ""Save"" để thực thi "
"All rates were fetched, please click on ""Save"" to apply","Tất cả các rates được lấy, xin vui lòng click ""save"" để thực thi"
"All valid rates have been saved.","Tất cả các rates hợp lệ được lưu."
"Always (during development)","luôn luôn ( trong suốt quá trình phát triển )"
"Amounts","Số lượng"
"An error has occured while syncronizing media storages.","Lỗi xuất hiện khi đồng bộ hóa việc lưu trữ media."
"An error occurred while clearing the JavaScript/CSS cache.","Lỗi xuất hiện khi xóa cache javascript/Css."
"An error occurred while clearing the image cache.","Lỗi xuất hiện khi xóa cache hình ảnh."
"An error occurred while deleting URL Rewrite.","Lỗi xuất hiện khi xóa URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.","Lỗi xuất hiện khi xóa dữ liệu email template. Xin vui lòng xem lại log và thử lại"
"An error occurred while deleting record(s).","Lỗi xuất hiện khi xóa nhiều mẫu tin."
"An error occurred while deleting this role.","Lỗi xuất hiện khi xóa role này."
"An error occurred while deleting this set.","Lỗi xuất hiện khi xóa set này."
"An error occurred while deleting this template.","Lỗi xuất hiện khi xóa template này."
"An error occurred while finishing process. Please refresh the cache","Lỗi xuất hiện khi hòan thành xử lý"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Lỗi xuất hiện khi chạy lại trang thái CatalogInventory Stock."
"An error occurred while rebuilding the catalog index.","Lỗi xuất hiện khi chạy lại catalog index."
"An error occurred while rebuilding the flat catalog category.","Lỗi xuất hiện khi chạy lại danh mục flat catalog."
"An error occurred while rebuilding the flat product catalog.","Lỗi xuất hiện khi chạy lại catalog flat product."
"An error occurred while rebuilding the search index.","Lỗi xuất hiện khi chạy lại mục tìm kiếm."
"An error occurred while refreshing the Catalog Rewrites.","Lỗi xuất hiện khi refresh lại Catalog Rewrite."
"An error occurred while refreshing the Layered Navigation indices.","Lỗi xuất hiện khi refresh lại mục Layered Navigation indices."
"An error occurred while refreshing the catalog rewrites.","Lỗi xuất hiện khi refresh lại catalog rewrites."
"An error occurred while refreshing the layered navigation indices.","Lỗi xuất hiện khi refresh lại mục Layered Navigation indices."
"An error occurred while saving URL Rewrite.","Lỗi xuất hiện khi lưu URL Rewrite."
"An error occurred while saving account.","Lỗi xuất hiện khi lưu tài khỏan."
"An error occurred while saving review.","Lỗi xuất hiện khi xem lại việc lưu trữ."
"An error occurred while saving the customer.","Lỗi xuất hiện khi lưu khách hàng."
"An error occurred while saving this configuration:","Lỗi xuất hiện khi lưu cấu hình này:"
"An error occurred while saving this role.","Lỗi xuất hiện khi lưu role này."
"An error occurred while saving this template.","Lỗi xuất hiện khi lưu template này."
"An error occurred while updating the selected review(s).","Lỗi xuất hiện khi cập nhật việc chọn review(s)."
"Any","Any"
"Any Attribute Set","Bất cứ Attribute Set nào"
"Any Group","Bất cứ Group nào"
"Any Status","Bất cứ Status nào"
"Any Store","Bất cứ Store nào"
"Any Type","Bất cứ Type nào"
"Any Visibility","Bất cứ Visibility nào"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Bất cứ dữ liệu nào được tạo ra từ việc backup sẽ bị mất đi bao gồm admin users, customers và orders."
"Archive file name:","Nén file name:"
"Are you sure that you want to delete this template?","Bạn có chắc là muốn xóa template này?"
"Are you sure that you want to strip tags?","Bạn có chắc là muốn strip tags này?"
"Are you sure you want to do this?","Bạn có chắc là muốn làm việc này?"
"Are you sure you want to proceed?","Bạn có chắc là muốn thực hiện việc này?"
"Area","Vùng"
"As low as:","As low as:"
"Assigned","Assigned"
"Associated Tags","Associated Tags"
"Attribute Set Name:","Tên Attribute Set:"
"Attributes","Thuộc tính"
"Authorization confirmed","Xác nhận lại quyền Authorization "
"Authorize","Authorize"
"Authorize application","Authorize application"
"Authorized OAuth Tokens","Authorized OAuth Tokens"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
"Average Order Amount","Số lượng đặt hàng mức trung bình"
"Average Orders","Đặt hàng mức trung bình"
"BINARY","Nhị phân"
"Back","Quay lại"
"Back to Login","Quay lại trang đăng nhập"
"Backup","Sao lưu lại"
"Backup Name","Sao lưu lại tên"
"Backup options","Sao lưu lại options"
"Backups","Sao lưu lại"
"Base currency","Dựa trên Tiền tệ"
"Bcc","Bcc"
"Bestsellers","Người bán giỏi nhất"
"Billing Address","Địa chỉ hóa đơn"
"Billing Address: ","Địa chỉ hóa đơn: "
"Billing Agreement","Billing Agreement"
"Billing Agreements","Billing Agreements"
"Block Information","Khóa thông tin lại"
"Both (without and with tax)","cả hai (không cần và cần tax)"
"Both IPN and PDT","cả hai IPN và PDT"
"Browse Files...","Tìm Files..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Sản phẩm Bundle với giá động không thể bao gồm sự lựa chọn được xác định. Lựa chọn không thể lưu lại"
"CMS","CMS"
"CRITICAL","Đánh giá"
"CSV","CSV"
"CSV / Tab separated","Tách biệt CSV / Tab "
"Cache Control","Kiểm sóat Cache"
"Cache Control (beta)","Kiểm sóat Cache(beta)"
"Cache Management","Quản lý cache"
"Cache Type","Lọai Cache"
"Cancel","hủy"
"Cannot add new comment.","Không thể thêm gợi ý mới."
"Cannot add tracking number.","Cannot add tracking number."
"Cannot create an invoice without products.","Không thể tạo ra hóa đơn mà không có sản phâm."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"Cannot delete the design change.","Không thể xóa thay đổi thiết kế."
"Cannot delete tracking number.","Cannot delete tracking number."
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","Cannot do shipment for the order."
"Cannot initialize shipment for adding tracking number.","Cannot initialize shipment for adding tracking number."
"Cannot initialize shipment for delete tracking number.","Cannot initialize shipment for delete tracking number."
"Cannot load track with retrieving identifier.","Cannot load track with retrieving identifier."
"Cannot retrieve tracking number detail.","Cannot retrieve tracking number detail."
"Cannot save shipment.","Cannot save shipment."
"Cannot save the credit memo.","Cannot save the credit memo."
"Cannot send shipment information.","Cannot send shipment information."
"Cannot update item quantity.","Không thể cập nhật số lượng item."
"Cannot update the item\'s quantity.","Không thể cập nhật số lượng item."
"Catalog","Catalog"
"Catalog Price Rules","Catalog Price Rules"
"Catalog Rewrites","Catalog Rewrites"
"Categories","Danh mục"
"Category:","Danh mục:"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Hình bị đóng. Nếu bạn muốn mở hình lên click <a href=""%s"">ở đây</a>."
"Checkbox","Checkbox"
"Child Transactions","Giao dịch con"
"Choose Store View:","Chọn store view:"
"Choose an attribute","Chọn thuộc tính"
"Chosen category does not associated with any website, so url rewrite is not possible.","Chọn dạnh mục mà không kết hợp với bất cứ website nào, vì vậy url rewrite không có thực."
"Chosen product does not associated with any website, so url rewrite is not possible.","Chọn sản phẩm mà không kết hợp với bất cứ website nào, vì vậy url rewrite không có thực."
"Clear","Xóa"
"Close","Đóng"
"Comment text field cannot be empty.","Trường comment không được để trống."
"Complete","Hòan thành"
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model required to be able to clone fields"
"Configuration","Cấu hình"
"Confirm New Password","Xác định là Password mới"
"Confirm token authorization Pop Up for admin","Xác định lại quyền token Pop Up cho admin"
"Confirm token authorization for admin","Xác định lại quyền token Pop Up cho admin"
"Confirmation Of Authorization","Xác định là quyền đăng nhập"
"Confirmed email:","Xác định lại email:"
"Connect with the Magento Community","Kết nối với cộng đồng magento"
"Continue","Tiếp tục"
"Convert to Plain Text","Chuyển thành Plain Text"
"Cookie (unsafe)","Cookie (unsafe)"
"Country","Quốc gia"
"Country:","Quốc gia:"
"Coupons","Coupons"
"Create","Tạo ra"
"Create DB Backup","Tạo ra bản sao lưu cơ sở dữ liệu"
"Create New Attribute","Tạo ra thuộc tính mới"
"Create URL Rewrite:","Tạo ra URL Rewrite:"
"Created At","Tạo ra "
"Credit Card %s","Credit Card %s"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit Memos","Credit Memos"
"Credit memo #%s comment added","Credit memo #%s comment added"
"Credit memo #%s created","Credit memo #%s created"
"Credit memo\'s total must be positive.","Credit memo\'s total must be positive."
"Currency","Tiền tệ"
