"%s","%s"
"ACL Attribute Rules","ACL Attribute Rules"
"ACL Attributes Information","Thông tin thuộc tính ACL"
"Add","Thêm"
"Add Admin Role","Thêm vai trò Admin"
"Add New Role","Thêm vai trò mới"
"Address Type","Lọai địa chỉ"
"Admin","Admin"
"Allow","Cho phép"
"An error occurred while deleting the role.","Lỗi xuất hiện khi xóa vai trò."
"An error occurred while saving attribute rules.","Lỗi xuất hiện khi lưu rules thuộc tính."
"An error occurred while saving role.","Lỗi xuất hiện khi lưu vai trò."
"Api Rules Information","Thông tin Rules Api "
"Assigned","Gán"
"Associate to Website","Kết hợp với Website"
"Attribute Rules Information","Thông tin Rules thuộc tính"
"Attribute Set","Tập thuộc tính"
"Attributes","Thuộc tính"
"Automatically Return Credit Memo Item to Stock","Tự động trả về Item Credit Memo đến Stock"
"Back","Trở về"
"Backorders","Backorders"
"Base Currency","tiền tệ"
"Base Customer Balance","Quyết tóan của khách hàng"
"Base Discount","Giảm giá"
"Base Discount Amount","Số lượng giảm giá"
"Base Item Subtotal","Tổng các item"
"Base Item Subtotal Including Tax","Tổng các item bao gồm thuế"
"Base Original Price","Giá gốc"
"Base Price","Giá"
"Base Price Including Tax","Giá bao gồm thuế"
"Base Shipping","Vận chuyển"
"Base Shipping Discount","Giảm giá phí vận chuyển"
"Base Shipping Tax","Thuế vận chuyển"
"Base Subtotal","Tổng cộng"
"Base Subtotal Including Tax","Tổng cộng bao gồm thuế"
"Base Tax Amount","Trị giá thuế"
"Base Total Due","Base Total Due"
"Base Total Paid","Tổng số tiền phải chi trả"
"Base Total Refunded","Tổng số tiền phải trả lại"
"Buy Now URL","Mua hàng dự trên URL này"
"Can Be Divided into Multiple Boxes for Shipping","Có thể chia nhỏ thành nhiều hợp khác nhau để vận chuyển"
"Canceled Qty","Hủy số lượng"
"Catalog","Catalog"
"Catalog Product","Catalog Product"
"CatalogInventory","CatalogInventory"
"Category ID","Category ID"
"City","Thành phố"
"Company","Công ty"
"Country","Quốc gia"
"Coupon Code","Coupon Code"
"Create","Tạo ra"
"Create Permanent Redirect for old URL","Tạo ra đường dẫn tuyệt đối cho URL củ"
"Created From","Đựơc tạo từ"
"Customer","Khách hàng"
"Customer Address","Địa chỉ khách hàng"
"Customer Address ID","Địa chỉ ID của khách hàng"
"Customer Balance","Quyết tóan của khách hàng"
"Customer First Name","Tên của khách hàng"
"Customer ID","ID của khách hàng"
"Customer Last Name","Họ của khách hàng"
"Customer Middle Name","Tên lót của khách hàng"
"Customer Prefix","Customer Prefix"
"Customer Suffix","Customer Suffix"
"Default Image","Hình ảnh mặc định"
"Delete","Xóa"
"Deny","Từ chối"
"Disable automatic group change based on VAT ID","Nhóm tự động đóng thay đổi dựa trên VAT ID"
"Discount","Giảm giá"
"Discount Amount","Số lượng giảm giá"
"Discount Description","Mô tả việc giảm giá"
"Edit","Sửa"
"Edit %s ACL attribute rules","Sửa %s thuộc tính ACL"
"Edit Role","Sửa Role"
"Edit attribute rules for %s Role","Sửa thuộc tính rules cho %s Role"
"Email","Email"
"Enable Qty Increments","Hổ trợ tăng theo số lượng"
"Exclude","Trừ ra"
"File Content","Nội dung File"
"File MIME Type","Lọai MIME file"
"File Name","Tên file"
"Final Price With Tax","Giá cuối cùng kèm theo thuế"
"Final Price Without Tax","Giá cuối cùng không kèm theo thuế"
"First Name","Tên"
"Gift Message","Thông điệp Gift"
"Grand Total","Grand Total"
"Grand Total to Be Charged","Grand Total to Be Charged"
"Group","Nhóm"
"Guest","Khách"
"Has Custom Options","Has Custom Options"
"ID","ID"
"Inventory Data","Dữ liệu hàng tồn kho"
"Invoiced Qty","Số lượng hàng tồn kho"
"Is Confirmed","Đựơc xác nhận"
"Is Default Billing Address","Có phải là địa chỉ hóa đơn mặc định không"
"Is Default Shipping Address","Có phải là địa chỉ vận chuyển mặc định không"
"Item ID","Item ID"
"Item Subtotal","Tổng số Item"
"Item Subtotal Including Tax","Tổng số Item bao gồm thuế"
"Label","Nhãn"
"Last Logged In","Lần đăng nhập cuối cùng"
"Last Name","Họ"
"Low Stock Date","Ngày có hàng tồn kho thấp"
"Manage Stock","Quản lý hàng tồn kho"
"Maximum Qty Allowed in Shopping Cart","Số lượng nhiều nhất được phép trong giỏ hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng ít nhất được phép trong gỉo hàng"
"New Role","Role mới"
"Notify for Quantity Below","Thông báo số lượng bên dưới"
"OAuth","OAuth"
"Order","Hóa đơn"
"Order Addresses","Địa chỉ hóa đơn"
"Order Comments","Góp ý cho hóa đơn"
"Order Currency","Tiền tệ trên hóa đơn"
"Order Date","Ngày đặt hàng"
"Order ID","Order ID"
"Order ID (internal)","Order ID (internal)"
"Order Item ID","Order Item ID"
"Order Items","Order Items"
"Order Status","Trạng thái hóa đơn"
"Ordered Qty","Số lượng đặt hàng"
"Orders","Đặt hàng"
"Original Price","Giá gốc"
"Parent Order Item ID","Parent Order Item ID"
"Payment Method","Phương thức thanh tóan"
"Phone Number","Số điện thọai"
"Placed from IP","Placed from IP"
"Please enter a valid number in ""max_sale_qty"" field","Xin vui lòng nhập đúng số trong trường ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Xin vui lòng nhập đúng số trong trường ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Xin vui lòng nhập đúng số trong trường ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Xin vui lòng nhập đúng số trong trường ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Xin vui lòng chỉ nhập số trong trường ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Xin vui lòng chỉ nhập số trong trường ""qty_increments"". Xin vui lòng tránh khỏang trắng hoặc ký tự khác như là dấu chấm hoặc phẩy."
"Position","Vị trí"
"Price","Giá"
"Price Including Tax","Giá bao gồm thuế"
"Product","Sản phẩm"
"Product Category","Danh mục sản phẩm"
"Product ID","Product ID"
"Product Image","Hình ảnh sản phẩm"
"Product Type","Lọai sản phẩm"
"Product URL","URL sản phẩm"
"Product Website","Website sản phẩm"
"Product and Custom Options Name","Tên sản phẩm và tên lựa chọn"
"Qty","Số lượng"
"Qty Increments","Tăng số lượng"
"Qty Uses Decimals","Sử dụng số lượng ở dạng số thập phân"
"Qty for Item's Status to Become Out of Stock","Số lượng trạng thái Item hết hàng"
"REST - Attributes","REST - Attributes"
"REST - Roles","REST - Roles"
"REST ACL Attributes","REST ACL Attributes"
"REST Attributes","REST Attributes"
"REST Role","REST Role"
"REST Roles","REST Roles"
"REST Roles Information","REST Roles Information"
"Read","Đọc"
"Refunded Qty","Số lượng trả lại"
"Regular Price With Tax","Giá bình thường kèm theo thuế"
"Regular Price Without Tax","Giá bình thường không kèm theo thuế"
"Rest Roles","Rest Roles"
"Retrieve","Phục hồi lại"
"Role ""%s"" no longer exists","Role ""%s"" không tồn tại"
"Role ""%s"" not found.","Role ""%s"" không tìm thấy."
"Role API Resources","Role API Resources"
"Role Info","Role Info"
"Role Information","Role Information"
"Role Name","Role Name"
"Role Users","Role Users"
"Role has been deleted.","Role đã bị xóa."
"Roles","Roles"
"SKU","SKU"
"Salability Status","Salability Status"
"Sales","Bán"
"Save","Lưu"
"Shipped Qty","Số lượng vận chuyển"
"Shipping Amount","Số tiền vận chuyển"
"Shipping Discount","Giảm giá cước vận chuyển"
"Shipping Including Tax","Vận chuyển bao gồm thuế"
"Shipping Method","Phương thức vận chuyểnShipping Method"
"Shipping Tax","Thuế vận chuyển"
"State","Quốc gia"
"Stock Availability","Hàng hóa hiện có"
"Stock ID","Stock ID"
"Stock Item","Stock Item"
"Stock Status","Stock Status"
"Store Currency to Order Currency Rate","Store Currency to Order Currency Rate"
"Store Name","Store Name"
"Street","Tên đường"
"Subtotal","Tổng tiền"
"Subtotal Including Tax","Tổng tiền bao gồm thuế"
"System","Hệ thống"
"Tax Amount","Tổng số lượng thuế"
"Tax Name","Tên thuế"
"Tax Percent","Phần trăm thuế"
"Tax Rate","Tỷ lệ thuế"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Trường""enable_qty_increments"" phải được gán bằng 0 hoặc 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Trường""is_decimal_divided"" phải được gán bằng 0 hoặc 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Trường""is_in_stock"" phải được gán bằng 0 hoặc 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Trường""is_qty_decimal"" phải được gán bằng 0 hoặc 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Trường""is_qty_decimal"" phải được gán bằng 0,1 hoặc 2."
"The ""manage_stock"" field must be set to 0 or 1.","Trường""manage_stock"" phải được gán bằng 0,1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Trường""stock_status_changed_auto"" phải được gán bằng 0,1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Trường""use_config_backorders"" phải được gán bằng 0,1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Trường""use_config_enable_qty_inc"" phải được gán bằng 0,1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Trường""use_config_manage_stock"" phải được gán bằng 0,1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Trường""use_config_max_sale_qty"" phải được gán bằng 0,1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Trường""use_config_min_qty"" phải được gán bằng 0,1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Trường""use_config_min_sale_qty"" phải được gán bằng 0,1."
