"--Please Select--","--Please Select--"
"API Login ID","API Login ID"
"Accepted Currency","Tiền tệ được chấp nhận"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Xác minh lại số Card"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Close","Đóng"
"Credit Card Information","Thông tin Credit Card"
"Credit Card Number","Số Credit Card "
"Credit Card Type","Lọai Credit Card "
"Credit Card Types","Lọai Credit Card "
"Credit Card Verification","Xác minh Credit Card "
"Debug","Kiểm tra"
"Email Customer","Email Khách hàng"
"Enabled","Mở"
"Expiration Date","Ngày hết hạn"
"Gateway URL","Gateway URL"
"Maximum Order Total","Tổng số đặt hàng nhiều nhất"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Email nhà kinh doanh"
"Minimum Order Total","Tổng số đặt hàng ít nhất"
"New Order Status","Trạng thái hóa đơn"
"Order saving error: %s","Lỗi lưu hóa đơn: %s"
"Payment Action","Thao tác chi trả"
"Payment authorization error.","Lỗi cho phép thanh tóan."
"Payment authorization error. Transacion id is empty.","Lỗi cho phép thanh tóan. Giao dịch bị rỗng."
"Payment error. Order was not found.","Lỗi chi trả. Không tìm thấy hóa đơn."
"Payment error. Paid amount doesn\'t match the order amount.","Lỗi Thanh tóan. Tiền thanh tóan không đúng với tiền trong hóa đơn."
"Payment from Applicable Countries","Thanh tóan từ một quốc gia thích hợp"
"Payment from Specific Countries","Thanh tóan từ một quốc gia cụ thể"
"Please, choose payment method","Xin vui lòng, chọn phương thức thanh tóan"
"Response hash validation failed. Transaction declined.","Response hash validation failed. Transaction declined."
"Sort Order","Sắp xếp theo thứ tự"
"Test Mode","Trạng thái kiểm tra"
"The order has been created.","Hóa đơn đã được tạo ra."
"There was an error processing your order. Please contact us or try again later.","Có một lỗi trong hóa đơn. Xin vui lòng liên hệ với chúng tôi hoặc thử lại lần nữa."
"Title","Tựa"
"Transaction Key","Giao dịch chính"
"What is this?","Cái này là cái gì?"
"You will be required to enter your payment details before you place an order.","Bạn được yêu cầu phải nhập chi tiết việc thanh tóan trước khi lấy hóa đơn."
