"Action","Action"
"An error occurred while creating the backup.","Lỗi xuất hiện khi tạo ra bản sao lưu."
"An error occurred while writing to the backup file ""%s"".","Lỗi xuất hiện khi ghi lại file ""%s"" sao lưu."
"Are you sure you want to delete the selected backup(s)?","Bạn có muốn xóa cái sao lưu đã chọn không??"
"Backup Type","Lọai sao lưu"
"Backup file ""%s"" cannot be read from or written to.","file ""%s"" sao lưu không thể được đọc hoặc ghi."
"Backup file ""%s"" does not exist.","file ""%s"" sao lưu không tồn tại."
"Backup file does not exist.","File sao lưu không tồn tại."
"Backup file handler was unspecified.","Xử lý file sao lưu không được xác định."
"Backup file not found","Không tìm thấy file sao lưu"
"Backup file path was not specified.","Đường dẫn file sao lưu không được xác định."
"Backups","Sao lưu"
"Cannot read backup file.","Không thể đọc file sao lưu."
"Create Backup","Tạo ra bản sao lưu"
"Database Backup","sao lưu cơ sở dữ liệu"
"Database and Media Backup","Sao lưu cơ sở dữ liệu và media"
"Database was successfuly backed up.","Sao lưu thành công cơ sở dữ liệu."
"Download","Download"
"Enable Scheduled Backup","Mở lịch sao lưu "
"Failed to connect to FTP","Kết nối tới FTP thất bại"
"Failed to delete one or several backups.","thất bại khi xóa một hoặc nhiều bản sao lưu."
"Failed to rollback","Failed to rollback"
"Failed to validate FTP","Thất bại khi kiểm tra FTP"
"Frequency","Tần số"
"Invalid Password.","Sai mật khẩu."
"Maintenance Mode","Chếd độ bảo trì"
"Name","Tên"
"Not enough free space to create backup.","Không đủ vùng chứa để tạo ra bản sao lưu."
"Not enough permissions to create backup.","Không đủ quyền để tạo ra bản sao lưu."
"Not enough permissions to perform rollback","Không đủ quyền để thực hiện việc rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Xin vui lòng hoặc là không chọn checkbox""Put store on the maintenance mode"" hoặc là cập nhật quyền để xử lý việc sao lưu."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Xin vui lòng hoặc là không chọn checkbox""Put store on the maintenance mode"" hoặc là cập nhật quyền để xử lý rollback."""
"Put store on the maintenance mode while backup's creation","Put store on the maintenance mode while backup's creation"
"Rollback","Rollback"
"Scheduled Backup Settings","Lập lịch để  thiết lập sao lưu"
"Size, Bytes","Kích cỡ, Bytes"
"Start Time","Thời gian bắt đầu"
"System Backup","Sao lưu hệ thống"
"System couldn't put store on the maintenance mode","Hệ thống không thể nào đặt store ở trạng thái bảo trì"
"The database and media backup has been created.","Sao lưu cơ sở dữ liệu và media đã được tạo ra."
"The database backup has been created.","Sao lưu cơ sở dữ liệu đã được tạo ra."
"The file was compressed with Zlib, but this extension is not installed on server.","File được né với Zlib, nhưng cái đuôi này không có cài đặt trên server."
"The selected backup(s) has been deleted.","Bản sao lưu được chọn đã bị xóa."
"The system (excluding Media) backup has been created.","Bản sao lưu của hệ thống trừ media đã được tạo ra."
"The system backup has been created.","Bản sao lưu của hệ thống đã được tạo ra."
"Time","Thời gian"
"Type","Lọai"
"Unable to create backup. Please, try again later.","Không thể tạo ra bản sao lưu. Xin vui lòng, thực hiện lại."
"Unable to save the cron expression.","Không thể lưu biểu thức cron."
"Wrong order of creation for new backup.","Sai lệnh tạo ra bản sao lưu mới."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Không có đủ quyền để mở trạng thái bảo trì trong suốt họat động này."
