"* Required Fields","* Trường được yêu cầu"
"-- Select --","-- Chọn --"
"Add New Option","Thêm một lựa chọn mới"
"Add Selection","Thêm một lựa chọn"
"As Low as","As Low as"
"As low as","As low as"
"Bundle Items","Bundle Items"
"Bundle Product","Sản phẩm Bundle"
"Buy %1$s with %2$s discount each","Mua %1$s với %2$s giảm giá cho mỗi sản phẩm"
"Catalog Product View (Bundle)","Catalog Product View (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Chọn 1 lựa chọn..."
"Close","Đóng"
"Default","Mặc định"
"Default Qty","Số lượng mặc định"
"Default Title","Tựa đề mặc định"
"Drop-down","Drop-down"
"Dynamic","Động"
"Excl. Tax","Không bao gồm thuế"
"Fixed","Cố định"
"From","Từ"
"From:","Từ:"
"Gift Message","Thông điệp Gift"
"Incl. Tax","Không bao gồm thuế"
"Input Type","Lọai nhập vào"
"Is Required","Được yêu cầu"
"Message:","Thông điệp:"
"Multiple Select","Nhiều lựa chọn"
"N/A","N/A"
"No options of this product are available.","Không có tùy chọn cho sản phẩm này là có sẳn."
"None","Rỗng"
"Percent","Phần trăm"
"Percent Discount","Phần trăm giảm giá"
"Please Select Products to Add","Xin vui lòng chọn chọn sản phẩm để thêm vào"
"Please enter search conditions to view products.","Xin vui lòng nhập điều kiện tìm kiếm để hiển thị sản phẩm."
"Please select options for product.","Xin vui lòng chọn tùy chọn cho sản phẩm."
"Please specify product option(s).","Xin vui lòng xác định tùy chọn cho sản phẩm."
"Position","Vị trí"
"Price Range","Liệt kê giá"
"Price Type","Lọai giá"
"Price as configured","Giá như là cấu hình"
"Qty:","Số lượng:"
"Radio Buttons","Nút Radio"
"Required options are not selected.","Tùy chọn được yêu cầu không được chọn."
"Selected required options are not available.","Tùy chọn được yêu cầu chọn không có."
"Separately","Một cách riêng"
"Ship Bundle Items","Vận chuyển Item Bundle "
"Shipment","Vận chuyển bằng tàu"
"Store View Title","Tựa Store View"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","Sản phẩm này là một phần của bundle"
"To","Đến"
"To:","Đến:"
"Together","Together"
"Use Default Value","Sử dụng giá trị mặc định"
"User Defined Qty","Xác định số lượng người dùng"
