"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules dựa trên ""%s"" thuộc tính đã bị vô hiệu."
"Actions","Hành động"
"Active","Kích họat"
"Add New Rule","Add New Rule"
"An error occurred while deleting the rule. Please review the log and try again.","Một lỗi đã xuất hiện khi xóa rule. Xin vui lòng xem lại log và thử lại."
"An error occurred while saving the rule data. Please review the log and try again.","Một lỗi đã xuất hiện khi lưu dữ liệu rule. Xin vui lòng xem lại log và thử lại."
"Apply","Áp dụng"
"Apply Rules","Áp dụng Rules"
"Attribute Set","Tập thuộc tính"
"By Fixed Amount","Số lượng cố định"
"By Percentage of the Original Price","Phần trăm giá gốc"
"Catalog","Catalog"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Catalog Price Rules"
"Category","Danh mục"
"Conditions","Điều kiện"
"Conditions (leave blank for all products)","Điều kiện (để trống cho tất cả sản phẩm)"
"Conditions Combination","Điều kiện kết hợp"
"Customer Groups","Nhóm khách hàng"
"Date Expire","Ngày hết hạn"
"Date From","Từ ngày"
"Date Start","Ngày bắt đầu"
"Date To","Đến ngày"
"Description","Mô tả"
"Discount Amount","Số lượng giảm giá"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Enable Discount to Subproducts","Cho phép giảm giá đối với sản phẩm con"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"ID","ID"
"Inactive","Không kích họat"
"New Rule","New Rule"
"No","Không"
"Options","Tùy chọn"
"Priority","Ưu tiên"
"Product Attribute","Thuộc tính sản phẩm"
"Promotions","Quảng cáo"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Save and Apply","Lưu và áp dụng"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Status","Trạng thái"
"Stop Further Rules Processing","Dừng xử lý Rules"
"The rule has been deleted.","Rule đã bị xóa."
"The rule has been saved.","Rule đã được lưu."
"The rules have been applied.","Rule đã được áp dụng."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Có nhiều rule đã được thay đổi nhưng chưa được áp dụng. Xin vui lòng, Click áp dụng rule để thấy được hiệu ứng ngay tức thì trong catalog."
"This rule no longer exists.","Rule này không tồn tại."
"To Date","Đến ngày"
"To Fixed Amount","Số lượng cố định"
"To Percentage of the Original Price","Phần trăm giá gốc"
"Unable to apply rules.","Không thể áp dụng rule."
"Unable to find a rule to delete.","Không thể tìm thấy một rule để xóa."
"Update Prices Using the Following Information","Cập nhật lại giá sử dụng thông tin sau đây"
"Update product's %s %s: %s","Cập nhật sản phẩm %s %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Rule sai được xác định."
"Yes","Yes"
