"%s and greater","%s và lớn hơn"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"Advanced Search","Tìm kiếm nâng cao"
"Advanced Search Form","Form tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"All","Tất cả"
"Applies for ""Like"" search type only.","Áp dụng chỉ cho lọai tìm kiếm ""Like"" ."
"Apply Layered Navigation if Search Results are Less Than","Áp dụng Layered Navigation nếu kết quả tìm kiếm ít hơn"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Tự động tạo ra Site Map"
"Catalog Advanced Search","Mục Tìm kiếm nâng cao"
"Catalog Search","Mục Tìm kiếm"
"Catalog Search Index","Catalog Search Index"
"Don't see what you're looking for?","Đừng xem cái mà chúng ta đang tìm?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Trở về"
"Go to Home Page"," Trở về trang chủ"
"Grid","Grid"
"Home","Trang chủ"
"List","Danh sách"
"Maximum Query Length","Chiều dài tối đa câu truy vấn"
"Maximum Query Words Count","Số chữ tối đa trong câu truy vấn"
"Maximum Search query length is %s. Your query was cut.","Chiều dài tối đa của câu truy vấn tìm kiếm là %s. Câu truy vấn của bạn bị cắt."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Số chữ tối đa là %1$s. Câu truy vấn tìm kiếm của bạn đã bị cắt một phần : %2$s."
"Minimal Query Length","Chiều dài tối thiểu câu truy vấn"
"Minimum Search query length is %s","Chiều dài tối thiểu câu truy vấn tìm kiếm là %s"
"Modify your search","Thay đổi tìm kiếm của bạn"
"No","Không"
"No items were found using the following search criteria.","Không mục nào được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây."
"Please specify at least one search term.","Xin vui lòng chỉ định ít nhất một thuật ngữ tìm kiếm."
"Popular Search Terms","Thuật ngữ tìm kiếm nổi tiếng"
"Quick Search Form","Form tìm kiếm nhanh"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Thích hợp"
"Results","Kết quả"
"Search","Tìm kiếm"
"Search Settings","Thiết lập tìm kiếm"
"Search Terms","Thuật ngữ tìm kiếm"
"Search Type","Lọai tìm kiếm"
"Search entire store here...","Tìm kiếm tòan bộ store ở đây..."
"Search results for '%s'","Kết quả tìm kiếm là '%s'"
"Search results for: '%s'","Kết quả tìm kiếm là: '%s'"
"Search:","Tìm kiếm:"
"Specified date is invalid.","Xác định ngày bị sai."
"Subscribe to Feed","Đăng ký feed"
"There are no search terms available.","Không có điều khỏan tìm kiếm."
"Yes","Yes"
"Your search returns no results.","Việc tìm kiếm của bạn không có kết quả trả về."
"up to %s","Lên tới %s"
