"%s was added to your shopping cart.","%s được thêm vào giỏ hàng."
"%s was updated in your shopping cart.","%s được cập nhật vào giỏ hàng."
"* Required Fields","* Trường được yêu cầu"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm điều kiện mới"
"Add coupon code for shopping cart","Thêm coupon cho giỏ hàng"
"Add gift messages to shopping cart","Thêm thông điệp gift cho giỏ hàng"
"Add product to shopping cart","Thêm sản phẩm cho giỏ hàng"
"Add product(s) to shopping cart","Thêm sản phẩm cho giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào compare"
"Add to Wishlist","Thêm vào Wishlist"
"Additional Product Info","Thông tin sản phẩm bổ sung"
"Address","Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"After Adding a Product Redirect to Shopping Cart","Sau khi thêm một sản phẩm thì chuyển hướng tới giỏ hàng"
"Allow Guest Checkout","Cho phép khách hàng đăng xuất"
"Already registered?","Đã sẳn sàng đăng ký chưa?"
"An error occurred in the process of payment","Lỗi đã xuất hiện khi xử lý việc chi trả"
"An error occurred while deleting this condition.","Lỗi đã xuất hiện khi xóa điều kiện này."
"An error occurred while saving this condition.","Lỗi xuất hiện khi lưu điều kiện này."
"Apply Coupon","Áp dụng Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc là bạn sẽ gỡ bỏ item này khỏi giỏ hàng?"
"Back","Trở lại"
"Back to Billing Information","Trở lại thông tin thanh tóan"
"Back to Select Addresses","Trở lại để chọn địa chỉ"
"Back to Shipping Information","Trở lại thông tin vận chuyển"
"Back to Shopping Cart","Trở lại giỏ hàng"
"Based on your selection, you may be interested in the following items:","Dựa trên chọn lựa của bạn, Bạn sẽ thích những item sau:"
"Billing Address","Địa chỉ thanh tóan"
"Billing Information","Thông tin thanh tóan"
"Billing Information - %s","Thông tin thanh tóan - %s"
"Cancel Coupon","Hủy phiếu giảm giá"
"Cannot add item to the shopping cart.","Không thể thêm item vào giỏ hàng."
"Cannot add the item to shopping cart","Không thể thêm item vào giỏ hàng"
"Cannot add the item to shopping cart.","Không thể thêm item vào giỏ hàng."
"Cannot apply the coupon code.","Không thể áp dụng coupon."
"Cannot configure product.","Không thể cấu hình sản phẩm."
"Cannot open the overview page","Không thể mở trang tổng quan"
"Cannot process the item.","Không thử xử lý item này."
"Cannot remove the item.","Không thể gỡ bỏ item này."
"Cannot update shopping cart.","Không thể cập nhật giỏ hàng."
"Cannot update the item.","Không thể cập nhật item."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Tổng giá trị giỏ hàng:"
"Change","Thay đổi"
"Change Billing Address","Thay đổi địa chỉ thanh tóan"
"Checkbox Text","Checkbox Text"
"Checkout","Thanh tóan"
"Checkout Conditions","Điều kiện thanh tóan"
"Checkout Method","Phương thức thanh tóan"
"Checkout Options","Tùy chọn thanh tóan"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Mục thanh tóan"
"Checkout Terms and Conditions","Điều khỏan và điền kiện thanh tóan"
"Checkout as Guest","Thanh tóan như là khách"
"Checkout as a Guest or Register","Thanh tóan như là khách hoặc người đăng ký"
"Checkout with Multiple Addresses","Thanh tóan với nhiều địa chỉ"
"City","Thàhh phố"
"Clear Shopping Cart","Xóa giỏ hàng"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">ở đây để in</a> một bản sao xách nhận hóa đơn của bạn."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">ở đây</a> để tiếp tục mua hàng."
"Close","Đóng"
"Company","Công ty"
"Condition Name","Tên điều kiện"
"Configurable Product Image","Hình sản phẩm Configurable "
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Xác nhận Password"
"Content","Nội dung"
"Content Height","Chiều cao nội dung"
"Content Height (css)","Chiều cao nội dung(css)"
"Continue","Tiếp tục"
"Continue Shopping","Tiếp tục mua hàng"
"Continue to Billing Information","Tiếp tục thông tin thanh tóan"
"Continue to Review Your Order","Tiếp tục để xem là hóa đơn của bạn"
"Continue to Shipping Information","Tiếp tục thông tin vận chuyển"
"Country","Quốc gia"
"Coupon code ""%s"" is not valid.","Mã Coupon ""%s"" không đúng."
"Coupon code ""%s"" was applied.","Mã Coupon ""%s"" được áp dụng."
"Coupon code was canceled.","Mã Coupon bị hủy."
"Create Billing Address","Tạo địa chỉ thanh tóan "
"Create Shipping Address","Tạo địa chỉ vận chuyển"
"Create an order from shopping cart","Tạo ra hóa đơn từ giỏ hàng"
"Create shopping cart","Tạo ra giỏ hàng"
"Customer Address is not valid.","Địa chỉ khách hàng không hợp lệ."
"Customer Information","Thông tin khách hàng"
"Customer's information","Thông tin khách hàng"
"Data saving problem","Gặp trở ngại khi lưu dữ liệu"
"Default Billing","Thanh tóan mặc định"
"Default Shipping","Vận chuyển mặc định"
"Delete Condition","Xóa điều kiện"
"Details","Chi tiết"
"Disabled","Vô hiệu hóa"
