"Collected Files Count","Đếm file đã tập hợp"
"Compilation","Biên dịch"
"Compilation State","Trạng thái biên dịch"
"Compilation error","Lỗi biên dịch"
"Compiled","Đã biên dịch"
"Compiled Scopes Count","Đếm phạm vi biên dịch"
"Compiler Status","Trạng thái biên dịch"
"Compiler include path is disabled.","Trình biên dịch bao gồm đường dẫn đã bị vô hiệu."
"Compiler include path is enabled.","Trình biên dịch bao gồm đường dẫn đã được kích họat."
"Directory ""%s"" must be writeable","Thư mục ""%s"" phải là writeable"
"Disable","Vô hiệu"
"Disabled","Đã vô hiệu"
"Enable","Kích họat"
"Enabled","Đã kích họat"
"File ""%s"" must be writeable","File ""%s"" phải là writeable"
"Not Compiled","Không được biên dịch"
"Run Compilation Process","Chạy quá trình biên dịch"
"Scopes Compilation Settings","Phạm vi thiết lập biên dịch"
"System","Hệ thống"
"The compilation has completed.","Đã hòan thành biên dịch."
"Tools","Tools"
