"1.5.0.0 & later","1.5.0.0 & later"
"Action","Hành độnng"
"Add Author","Thêm tác giả"
"Add Contents Path","Thêm nội dung đường dẫn"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Add Package dependency","Thêm gói phụ thuộc"
"Add files","Thêm file"
"Authors","Tác giả"
"Channel","Channel"
"Contents","Nội dung"
"Create Extension Package","Tạo gói mở rộng"
"Dependencies","Phụ thuộc"
"Description","Mô tả"
"Edit Extension","Edit Extension"
"Email","Email"
"Extension","Extension"
"Extensions","Extensions"
"Failed to create the package.","Thât bại khi tạo ra gói."
"Failed to load the package data.","Thất bại khi tải gói dữ liệu."
"Failed to save the package.","Thất bại khi lưu gói."
"Files","Files"
"Folder","Thư mục"
"Ignore","Bỏ qua"
"Include","Bao gồm"
"License","Bản quyền"
"License URI","Bản quyền URI"
"Load Local Package","Nạp gói cục bộ"
"Load local Package","Nạp gói cục bộ"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Lớn"
"Maximum","Tối đa"
"Min","Nhỏ"
"Minimum","Tối thiểu"
"Name","Tên"
"New Extension","New Extension"
"PHP Version","Phiên bản PHP "
"Package","Gói"
"Package Extensions","Package Extensions"
"Package File Name","Package File Name"
"Package Info","Thông tin gói"
"Packages","Gói"
"Path","Đường dẫn"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Release Info"
"Remove","Gỡ bỏ"
"Save As...","Lưu lại..."
"Save Data and Create Package","Lưu dữ liệu và tạo gói"
"Save package with custom package file name","Save package with custom package file name"
"Summary","Tóm tắt"
"Supported releases","Supported releases"
"System","Hệ thống"
"Target","Target"
"The package %s data has been loaded.","Gói dữ liệu %s đã được tải."
"The package data has been saved.","Gói dữ liệu đã được lưu."
"There was a problem saving package data","Có một vấn đề khi lưu gói dữ liệu"
"Type","Lọai"
"User","User"
