"* Required Fields","* Trường được yêu cầu"
"Comment","Góp ý"
"Contact Form","Form liên hệ"
"Contact Information","Thông tin liên hệ"
"Contact Us","Liên hệ với chúng tôi"
"Contact Us Form","Form liên hệ với chúng tôi"
"Contacts","Liên hệ"
"Contacts Section","Mục liên hệ"
"Email","Email"
"Email Options","Tùy chọn Email"
"Email Sender","Người gởi email"
"Email Template","Email Template"
"Enable Contact Us","Kích họat liên hệ với chúng tôi"
"Name","Tên"
"Send Emails To","Gởi email đến"
"Submit","Gởi"
"Telephone","Điện thọai"
"Unable to submit your request. Please, try again later","Không thể gởi yêu cầu của bạn. Xin vui lòng, thử lại sao"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Yêu cầu của bạn đã được gởi và sẽ được trả lời càng sớm càng tốt. Cảm ơn đã liên hệ với chúng tôi."
