"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - Tất cả các lần trong vài phút"
"Daily","Daily"
"Failure History Lifetime","Failure History Lifetime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate Schedules Every","Tạo ra lịch trình"
"History Cleanup Every","History Cleanup Every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if Not Run Within","Bỏ qua nếu nó không chạy trong"
"Monthly","Hằng tháng"
"No callbacks found","No callbacks found"
"Schedule Ahead for","Lịh trình phía trước cho"
"Success History Lifetime","Success History Lifetime"
"Too late for the schedule.","Quá trễ cho lịch trình."
"Unable to save the cron expression.","Không thể lưu các biểu thức cron."
"Unknown error.","Lỗi không xác định."
"Weekly","Hằng tuần"
