"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Trường được yêu cầu"
"ALL GROUPS","TẤT CẢ NHÓM"
"Account Dashboard","Tài khỏan Dashboard"
"Account Information","Thông tin tài khỏan"
"Account Sharing Options","Account Sharing Options"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Xác nhận lại tài khỏan được yêu cầu. Xin vui lòng, Xin vui lòng kiểm tra e-mail của bạn để xác nhận liêu kết. Để gởi lại xác nhận email Xin vui lòng <a href=""%s"">click ở đây</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.", "Xác nhận lại tài khỏan được yêu cầu. Xin vui lòng, Xin vui lòng kiểm tra e-mail của bạn để xác nhận liêu kết. Để gởi lại xác nhận email Xin vui lòng <a href=""%s"">click ở đây</a>."
"Action","Hành động"
"Add New Address","Thêm địa chỉ mới"
"Add New Customer","Thêm khách hàng mới"
"Add New Customer Group","Thêm nhóm khách hàng mớ"
"Added From","Được thêm từ"
"Additional Address Entries","Additional Address Entries"
"Address","Địa chỉ"
"Address Book","Address Book"
"Address Books","Address Books"
"Address Information","Thông tin địa chỉ"
"Address Templates","Address Templates"
"Addresses","Addresses"
"Admin","Admin"
"All","Tất cả"
"All Store Views","Tất cả Store Views"
"All countries","Tất cả quốc gia"
"Always optional.","Always optional."
"Amount","Amount"
"An error occurred while deleting the address.","Một lỗi đã xuất hiện khi xóa địa chỉ này."
"An error occurred while retrieving the option value: %s.","Một lỗi đã xuất hiện khi lấy giá trị tùy chọn: %s."
"An error occurred while saving the collection, aborting. Error: %s","Một lỗi đã xuất hiện khi lưu collection, hủy bỏ. lỗi: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Lựa chọn ID không hợp lệ được xác định %s (%s), Bỏ qua mẫu tin."
"Approved","Được chứng thực"
"Are you sure that you want to remove this item?","Bạn có chắc là bạn muốn gỡ bỏ item này?"
"Are you sure you want to cancel adding of this address?","Bạn có chắc là bạn muốn hủy bỏ việc thêm địa chỉ này?"
"Are you sure you want to delete this address?","Bạn có chắc là bạn muốn xóa địa chỉ này?"
"Are you sure?","Bạn có chắc không?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
