"-- Please select --","-- Xin vui lòng chọn --"
"Allowed Currencies","Allowed Currencies"
"Base Currency","Base Currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Cannot retrieve rate from %s.","Không lấy tỷ lệ từ %s."
"Connection Timeout in Seconds","Mất kết nối trong vài giây"
"Continue &raquo;","Continue &raquo;"
"Country","Quốc gia"
"Country API","Country API"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Currency","Tiền tệ"
"Currency Options","Tùy chọn tiền tệ"
"Currency Setup","Cài đặt tiền tệ"
"Currency Update Warnings","Cập nhật cảnh báo tiền tệ"
"Default Display Currency","Tiền tệ hiển thị mặc định"
"Directory","Thư mục"
"Display not required State","Không hiển thị quốc gia được yêu cầu"
"Enabled","Enabled"
"Error Email Recipient","Lỗi người nhận email"
"Error Email Sender","Lỗi người gởi email"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frequency"
"Installed Currencies","Đã cài đặt tiền tệ"
"Invalid Import Service specified.","Dịch vụ nhập không hợp lệ đã được xác định"
"Invalid country code: %s","Mã nước không hợp lệ: %s"
"Invalid rates received","Đã nhận tỷ giá không hợp lệ"
"Invalid target currency.","Mục tiêu tiền tệ không hợp lệ."
"List of countries","Danh sách các quốc gia"
"List of regions in specified country","Danh sách các khu vực trong một nước cụ thể"
"Postal Code is Optional for the following countries","Mã nước là tùy chọn cho các quốc gia sau đây"
"Region","Khu vực"
"Region API","Region API"
"Scheduled Import Settings","Scheduled Import Settings"
"Select Your Currency","Chọn tiền tệ của bạn"
"Service","Dịch vụ"
"Start Time","Thời gian bắt đầu"
"State is required for","Quốc gia được yêu cầu"
"State/Province","Bang/Tỉnh"
"States Options","Tùy chọn quốc gia"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s"".","Không xác định được tỷ lệ từ ""%s-%s""."
"WARNING:","Cảnh báo:"
"Webservicex","Webservicex"
"Your current currency is: %s","Tiền tệ hiện tại của bạn là: %s"
