"Add","Thêm"
"Add New Row","Thêm dòng mới"
"Add links and samples to downloadable product","Thêm liên kết và các mẫu tới sản phẩm downloadable"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Chữ số, dấu gạch ngang và gạch dưới được đề nghị cho tên tập tin. Những ký tự không phù được thay thế bằng \'_\'."
"An error occurred while getting the requested content.","Lỗi đã xuất hiện khi lấy được nội dung được yêu cầu."
"An error occurred while getting the requested content. Please contact the store owner.","Lỗi đã xuất hiện khi lấy được nội dung được yêu cầu.Xin vui lòng liên hệ với người sở hữu store."
"An error occurred while saving the file(s)."," Lỗi đã xuất hiện khi lưu file."
"Availability:","Availability:"
"Back","Trở lại"
"Canceled","Đã hủy"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Date"
"Default Link Title","Tiêu đề liên kết mặc định"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Delete","Xóa"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vô hiệu thanh tóan khách nếu giỏ hàng chứa sản phẩm Downloadble"
"Downloadable Information","Thông tin Downloadable"
"Downloadable Product","Sản phẩm Downloadable"
"Downloadable Product Options","Tùy chọn sản phẩm Downloadable"
"Downloadable Product Section","Mục sản phẩm Downloadable"
"Edit","Sửa"
"Edit item parameters","Edit item parameters"
"Excl. Tax","Trừ thuế"
"File","File"
"From:","Từ:"
"Gift Message","Gift Message"
"Go to <a href=""%s"">My Downloadable Products</a>","Đi đến <a href=""%s"">Sản phẩm Downloadable</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","Còn hàng"
"Incl. Tax","Bao gồm thuế"
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid download link type.","Invalid download link type."
"Invoiced","Invoiced"
"Links can be purchased separately","Liên kết có thể được mua riêng"
"List","Danh sách"
"Max. Downloads","Max. Downloads"
"Message:","Message:"
"Move","Di chuyển"
"My Downloadable Products","Sản phẩm Downloadable"
"Open Links in New Window","Mở liên kết ở một cửa sổ mới"
"Order #","Order #"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Ordered","Ordered"
"Out of stock","Hết hàng"
"Pending","Chờ"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Xin vui lòng đăng nhập để download sản phẩm của bạn hoặc mua <a href=""%s"">%s</a>."
"Please log in to download your product.","Xin vui lòng đăng nhập để download sản phẩm của bạn."
"Please set resource file and link type.","Please set resource file and link type."
"Please specify product link(s).","Xin vui lòng xác định liên kết sản phẩm."
"Price","Giá"
"Product downloadable links","Liên kết sản phẩm downloadable"
"Qty","Số lượng"
"Refunded","Hòan lại"
"Remaining Downloads","Giữ Downloads"
"Remove","Gỡ bỏ"
"Remove Item","Gỡ bỏ item"
"Remove links and samples from downloadable product","Gỡ bỏ liên kết và mẫu thì sản phẩm downloadable"
"Requested link does not exist.","Liên kết được yêu cầu không tồn tại."
"Retrieve links and samples list from downloadable product","Lấy liên kết và danh sách mẫu từ sản phẩm downloadable"
"Sample","Mẫu"
"See price before order confirmation.","Xem giá trước khi xác nhận đặt hàng."
"Shareable","Shareable"
"Shipped","Đã vận chuyển"
"Sorry, there was an error getting requested content. Please contact the store owner.","Xin lỗi, có một lỗi khi lấy nội dung được yêu cầu, xin vui lòng liên người sở hữu store."
"Sort Order","Sort Order"
"Start Download","Bắt đầu Download"
"Status","Trạng thái"
"The file does not exist.","The file does not exist."
"The link has expired.","Liên kết đã hết hạn."
"The link is not available.","Liên kết không có sẳn."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Có nhiều file mà được chọn nhưng chưa upload. Xin vui lòng upload và gỡ bỏ nó trước tiên"
"Title","Tiêu đề"
"To:","To:"
"U","U"
"Unlimited","Không được giới hạn"
"Use Content-Disposition","Use Content-Disposition"
"Use Default Value","Sử dụng giá trị mặc định"
"View Order","View Order"
"What's this?","Cái này là cái gì?"
"You have not purchased any downloadable products yet.","Bạn chưa mua được bất kỳ sản phẩm downloadable nào."
"attachment","attachment"
"download","download"
"inline","inline"
"sample","sample"
