"Active","Active"
"Add Attribute Mapping","Add Attribute Mapping"
"Add New Attribute","Thêm thuộc tinh mới"
"Add to Google Base","Add to Google Base"
"Are you sure?","Bạn có chắc không?"
"Attribute","Thuộc tính"
"Attribute Set","Tập thuộc tính"
"Attribute Set and Item Type","Attribute Set and Item Type"
"Attributes","Thuộc tính"
"Attributes Mapping","Attributes Mapping"
"Attributes Set","Tập thuộc tính"
"AuthSub","AuthSub"
"Available Products","Available Products"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base."
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","Lỗi xác nhận Captcha: %s"
"Captcha has been confirmed.","Captcha đã được xác nhận."
"Catalog","Catalog"
"Clicks","Clicks"
"ClientLogin","ClientLogin"
"Confirm","Xác nhận"
"Current Mapping will be reloaded. Continue?","Current Mapping will be reloaded. Continue?"
"Custom attribute, no mapping","Custom attribute, no mapping"
"Delete","Xóa"
"Delete Mapping","Delete Mapping"
"Edit Item Type","Edit Item Type"
"Edit Item Type ""%s""","Edit Item Type ""%s"""
"Error: %s","Error: %s"
"Expires","Hết hạn"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base Attribute"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base Item Type"
"Google Base Item type","Google Base Item type"
"Google Base Items","Google Base Items"
"Google base","Google base"
"Hide","Ẩn"
"Hosted","Hosted"
"Hosted or Google","Hosted or Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Invalid Product Model for Google Base Item"
"Item Type was deleted","Item Type was deleted"
"Item Types","Item Types"
"Item model is not specified to delete Google Base entry.","Item model is not specified to delete Google Base entry."
"Items","Items"
"Manage Attribute Mapping","Manage Attribute Mapping"
"Manage Attributes","Quản lý thuộc tính"
"Manage Items","Manage Items"
"New Item Type","New Item Type"
"New ItemType","New ItemType"
"No","No"
"No items were deleted from Google Base","No items were deleted from Google Base"
"No items were published","No items were published"
"No items were saved as inactive items","No items were saved as inactive items"
"No products were added to Google Base","Không có sản phẩm được thêm vào Google Base"
"Object model is not specified to save Google Base entry.","Object model is not specified to save Google Base entry."
"Please, select Attribute Set and Google Item Type to load attributes","Please, select Attribute Set and Google Item Type to load attributes"
"Product Name","Tên sản phẩm"
"Publish","Publish"
"Published","Published"
"Remove","Xóa"
"Save Mapping","Save Mapping"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session đã hết hiệu lực khi xuất. Xin vui lòng xem lại sản phẩm đã xuất và lập lại quá trình nếu cần thiết"
"Synchronize","Synchronize"
"Target Country","Target Country"
"The item type has been saved.","The item type has been saved."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","This action will update items statistics and remove the items which are not available in Google Base. Continue?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Total of %d items(s) have been deleted; total of %d items(s) have been updated."
"Total of %d items(s) have been published.","Total of %d items(s) have been published."
"Total of %d items(s) have been removed from Google Base.","Total of %d items(s) have been removed from Google Base."
"Total of %d items(s) have been saved as inactive items.","Total of %d items(s) have been saved as inactive items."
"Total of %d product(s) have been added to Google Base.","Total of %d product(s) have been added to Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","không kết nối được Google Base. Xin vui lòng, kiểm tra thiết lập tài khỏan trong cấu hình."
"Unable to select a Store View.","Không chọn được Store View."
"View Available Products","View Available Products"
"View Item in Google Base","View Item in Google Base"
"Yes","Yes"
