" in rows: "," in rows: "
"-- Please Select --","-- Xin vui lòng chọn --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Adapter type must be a non empty string"
"Can not determine attribute filter type","Can not determine attribute filter type"
"Can not find required columns: ","Không thể tìm cột được yêu cầu: "
"Can not get autoincrement value","Không thể lấy giá trị tự tăng"
"Check Data","Kiểm tra dữ liệu"
"Column names have duplicates","Column names have duplicates"
"Column names is empty or is not an array","Tên cột rỗng và không phải là một mãng"
"Column names: ""%s"" are invalid","Tên cột: ""%s"" không hợp lệ"
"Continue","Tiếp tục"
"Data is invalid or file is not uploaded","Dữ liệu không hợp lệ hoặc file không được upload"
"Destination directory is not writable","Destination directory is not writable"
"Destination file is not writable","Destination file is not writable"
"Destination file path must be a string","Đường dẫn file đích phải là một chuỗi"
"Entity Attributes","Thuộc tính Entity"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entity không xác định"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error in data structure: behaviors are mixed"
"Error in data structure: entity codes are mixed","Error in data structure: entity codes are mixed"
"Export","Export"
"Export FAQ","Export FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","File khong chứa dữ liệu. Xin vui lòng upload một file khác"
"File format is unknown","Định dạng file không xác định"
"File is partially valid, but import is not possible","File is partially valid, but import is not possible"
"File is totally invalid. Please fix errors and re-upload file","File hòan tòan hợp lệ. Xin vui lòng sửa lỗi và upload lại file"
"File is valid! To start import process press ""Import"" button","File hợp lệ! để bắt đầu quá trình nhập nhấn nút ""Import"" "
"File is valid, but import is not possible","File is valid, but import is not possible"
"Header column names already set","Header column names already set"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (Frequently Asked Questions)"
"Import FAQ","Import FAQ"
"Import successfully done.","Import successfully done."
"Import/Export","Import/Export"
"In/Out","In/Out"
"Input entity code is not equal to entity adapter code","Input entity code is not equal to entity adapter code"
"Invalid entity","entity không hợp lệ"
"Invalid file format","Định dạng file không hợp lệ"
"Invalid parameters","Tham số không hợp lệ"
"Invalid seek position","Invalid seek position"
"Invalid value for '%s'","Invalid value for '%s'"
"No filter data provided","No filter data provided"
"No source specified","No source specified"
"No valid data sent","Không có dữ liệu hợp lệ được gởi"
"No writer specified","No writer specified"
"Node does not has model token tag","Node does not has model token tag"
"Not implemented yet","Chưa được cài đặt"
"Please fix errors and re-upload file","Xin vui lòng sửa lỗi và upload lại file"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors"
"Some other FAQ","Some other FAQ"
"Source file moving failed","Source file moving failed"
"Source file path must be a string","Source file path must be a string"
"Source is not set","Source is not set"
"Status","Status"
"System busy","Hệ thống đang bận"
"There are no product types available for export","There are no product types available for export"
"Total size of uploadable files must not exceed %s","Total size of uploadable files must not exceed %s"
"Uploaded file has no extension","Uploaded file has no extension"
"Validation Results","Validation Results"
