"(Make sure you keep it in a safe place.)","(Đảm bảo là bạn giữ nó ở nơi an tòan.)"
"(Optional. Leave blank for no prefix)","(Optional. Leave blank for no prefix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Admin Path","Admin Path"
"After successfull installation please click the button below.","Sau khi cài đặt thành công xin vui lòng chọn nút bên dưới."
"All packages were installed, click 'OK' to continue with installation.","Tất cả các gói đã được cài đặt, chọn 'OK' để tiếp tục cài đặt."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatively you could try the 'Manual Downloads and Upgrades' method."
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"Check out our","Check out our"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required."
"Check this box only if it is not possible to automatically validate the Base URL.","Check this box only if it is not possible to automatically validate the Base URL."
"Choose this if you would like to test frontend and backend functionality.","Chọn cái này nếu bạn muốn chọn chức năng kiểm tra tra frontend và backend."
"Configuration","Cấu hình"
"Confirm Password","Xác nhận mật khẩu"
"Connection","Kết nối"
"Continue","Tiếp tục"
"Continue After Manual Download","Tiếp tục sau khi hướng dẫn tải"
"Continue Full Download / SVN Installation","Tiếp tục Download / cài đặt SVN "
"Create Admin Account","Tạo ra tài khỏang Admin"
"Currently this is the most stable state available for Magento packages.","Hiện tại đây là trạng thái ổn định nhất cho các gói magento."
"Database","Cơ sở dữ liệu"
"Database Connection","Kết nối cơ sở dữ liệu"
"Database Name","Tên cơ sở dữ liệu"
"Database Name cannot be empty.","Tên cơ sở dữ liệu không thể rỗng."
"Database Type","Lọai cơ sở dữ liệu"
"Database connection error.","Lỗi kết nối cơ sở dữ liệu."
"Database host","Database host"
"Database server does not support the InnoDB storage engine.","Máy chủ cơ sở dữ liệu không hỗ trợ các công cụ lưu trữ InnoDB."
"Database user name","Database user name"
"Database user password","Database user password"
"Default Currency","Tiền tệ mặc định"
"Download","Download"
"Download Magento Core Modules and Updates","Download thư viện Magento và cập nhật"
"Downloading and installing Magento, please wait...","Đang download và cài đặt Magento, xin vui lòng chờ..."
"Email","Email"
"Email Address","Địa chỉ Email"
"Enable Charts","Cho phép biểu đồ"
"Enable this option if you want the charts to be displayed on Dashboard.","Cho phép tùy chọn này nếu bạn muốn biểu đồ được hiển thị trên Dashboard."
"Enable this option only if you have SSL available.","Cho phép tùy chọ này nếu bạn có SSL."
"Encryption Key","Encryption Key"
"File System","File hệ thống"
"First Name","Tên"
"Full Download / SVN Installation","Download tòan bộ / cài đặt SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Hãy sẳn sàng để trãi nghiệm mã nguồn mở thương mại điện tử."
"Go to Backend"," Đi đến Backend"
"Go to Frontend","Đi đến Frontend"
"Having trouble installing Magento?","Gặp khó khăn khi cài đặt Magento?"
"Help Us to Keep Magento Healthy","Giúp đỡ chúng tôi để duy trì Magento"
"Host","Host"
"I agree to the above terms and conditions.","Tôi đồng ý điều khỏan và điều kiện trên."
"If you are a developer and would like to have the latest public updates, choose this option.","Nếu bạn là một nhà phát triển và muốn có các bản cập nhật mới nhất, chọn tùy chọn này."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Nếu bạn đang chạy trình hướng dẫn cài đặt trên một cài đặt magento trước đó được tải về và được cài đặt, tiến hành phương phương pháp này."
