"%name% '%value%' is too long. It must has length %min% symbols.","%tên% '%giá trị%' quá dài. Nó phải có chiều dài %min% biểu tượng."
"%name% '%value%' is too short. It must has length %min% symbols.","%tên% '%giá trị%' quá ngắn. Nó phải có chiều dài %min% biểu tượng."
"* Required Fields","* Trường được yêu cầu"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> yêu cầu truy cập vào tài khỏan của bạn"
"Admin","Admin"
"After authorization application will have access to you account.","Sau khi ứng dụng cho phép sẽ có quyền truy cập vào tài khỏan."
"An error occurred on confirm authorize.","An error occurred on confirm authorize."
"An error occurred on delete action.","Một lỗi đã xảy ra khi xóa hành động."
"An error occurred on delete application.","Một lỗi đã xảy ra khi xóa ứng hudjng."
"An error occurred on reject authorize.","An error occurred on reject authorize."
"An error occurred on saving consumer data.","An error occurred on saving consumer data."
"An error occurred on update revoke status.","An error occurred on update revoke status."
"An error occurred while deleting the consumer.","Một lỗi đã xảy ra khi xóa người tiêu dùng."
"An error occurred.","Một lỗi đã xuất hiện."
"An error occurred. Your authorization request is invalid.","Một lỗi đã xảy ra. Yêu cầu ủy quyền của bạn không hơp lệ."
"App Name","App Name"
"Application ""%s"" has been deleted.","Ứng dụng ""%s"" đã được xóa."
"Application ""%s"" has been enabled.","Ứng dụng ""%s"" đã được kích họat."
"Application ""%s"" has been revoked.","Ứng dụng ""%s"" đã được thu hồi."
"Application Name","Tên ứng dụng"
"Application not found.","Không tìm thấy ứng dụng."
"Are you sure you want to delete this application?","Bạn có chắc là bạn muốn xóa ứng dụng này?"
"Are you sure you want to disable this application?","Bạn có chắc là bạn muốn vô hiệu hóa ứng dụng này?"
"Are you sure you want to enable this application?","Bạn có chắc là bạn muốn kích họat ứng dụng này?"
"Authorization confirmed","Authorization confirmed"
"Authorization confirmed.","Authorization confirmed."
"Authorize","Authorize"
"Authorize application","Authorize application"
"Authorized Tokens","Authorized Tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Cleanup Probability"
"Cleanup Settings","Cleanup Settings"
"Close","Close"
"Confirm OAuth token authorization","Confirm OAuth token authorization"
"Confirm token authorization Pop Up for admin","Confirm token authorization Pop Up for admin"
"Confirm token authorization for admin","Confirm token authorization for admin"
"Confirmation Of Authorization","Confirmation Of Authorization"
"Consumer Information","Thông tin người tiêu dùng"
"Consumer Name","Tên người tiêu dùng"
"Consumers","Người tiêu dùng"
"Created At","Được tạo tại"
"Customer","Khách hàng"
"Customer My Account My OAuth Applications","Customer My Account My OAuth Applications"
"Delete","Xóa"
"Disable","Vô hiệu hóa"
"Disabled","Bị vô hiệu hóa"
"Edit","Sửa"
"Edit Consumer","Sửa người tiêu dùng"
"Email","Email"
"Email Address","Địa chỉ Email"
"Enable","Kích họat"
"Enabled","Được kích hoạt"
"Entry with ID #%s not found.","Entry with ID #%s not found."
"Expiration Period","Thời gian hết hạn"
"Give the verifier code to application administrator","Cho mã xác minh để quản trị ứng dụng"
"ID","ID"
"Invalid Callback URL","Invalid Callback URL"
"Invalid ID parameter.","Tham số ID không hợp lệ."
"Invalid Rejected Callback URL","Invalid Rejected Callback URL"
"Invalid entry ID.","Invalid entry ID."
"Invalid revoke status.","Invalid revoke status."
"Key","Key"
"Log In","Đăng nhập"
"Log in as a customer","Đăng nhập như là khách hàng"
"Log in as admin","Đăng nhập như là admin"
"Log in as customer","Đăng nhập như là khách hàng"
"Log in to use <strong>%s</strong>","Đăng nhập để sử dụng <strong>%s</strong>"
"Login","Đăng nhập"
"My Applications","Ứng dụng của tôi"
"Name","Tên"
"New Consumer","Người tiêu dùng mới"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin My Apps"
"OAuth Authorized Tokens","OAuth Authorized Tokens"
"OAuth Consumers","OAuth Consumers"
"OAuth authorization Pop Up for customer","OAuth authorization Pop Up for customer"
"OAuth authorization for admin","OAuth authorization for admin"
"OAuth authorization for customer","OAuth authorization for customer"
"OAuth authorization simple for admin","OAuth authorization simple for admin"
"Password","Mật khẩu"
"Permissions","Quyền"
"Please login to proceed authorization.","Please login to proceed authorization."
"Please select needed row(s).","Xin vui lòng chọn hàng cần thiết."
"Please select revoke status.","Please select revoke status."
"REST - My Apps","REST - My Apps"
"REST - OAuth Authorized Tokens","REST - OAuth Authorized Tokens"
"REST - OAuth Consumers","REST - OAuth Consumers"
"Reject","Từ chối"
"Reject OAuth token authorization","Reject OAuth token authorization"
"Reject authorization","Reject authorization"
"Reject token authorization Pop Up for admin","Reject token authorization Pop Up for admin"
"Reject token authorization for admin","Reject token authorization for admin"
"Rejected Callback URL","Rejected Callback URL"
"Rejection Of Authorization","Rejection Of Authorization"
"Revoked","Revoked"
"Role Name","Role Name"
"Save","Lưu"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Secret","Secret"
"Selected entries enabled.","Mục được lựa chọn kích họat"
"Selected entries has been deleted.","Mục được lựa chọn đã bị xóa."
"Selected entries revoked.","Selected entries revoked."
"Status","Trạng thái"
"System","Hệ thống"
"The application access request is rejected.","Yêu cầu truy cập ứng dụng bị từ chối."
"The consumer has been deleted.","Người tiêu dùng đã bị xóa."
"The consumer has been saved.","Người tiêu dùng đã được lưu."
"Token Status Change","Token Status Change"
"Token Status Change Email Template","Token Status Change Email Template"
"Unable to find a consumer.","Không thể tìm thấy người tiêu dùng."
"User ID","User ID"
"User Name","User Name"
"User Type","User Type"
"Verifier code: %s","Mã xác minh: %s"
"You have no applications.","Bạn không có ứng dụng."
"deleted","Được xóa"
"enabled","Được kích họat"
"revoked","revoked"
