"An error occurred while clearing the external full page cache.","Lỗi đã xuất hiện khi xóa tòan bộ trang cache bên ngòai"
"Cookie Lifetime (seconds)","Cookie Lifetime (seconds)"
"Enable External Cache","Kích họat bộ nhớ cache bên ngòai"
"External Cache Control","Điều khiển Cache bên ngòai"
"External Full Page Cache Settings","Thiết lập tòan bộ trang cache bên ngòai"
"External full page cache.","Tòan bộ trang cache bên ngòai."
"Failed to load external cache control","Đã thất bại khi tải điều khiển bộ nhớ cache bên ngòai"
"Flush External Page Cache","Xóa trang cache bên ngòai"
"If empty, default value will be used.","Nếu rỗng, giá trị mặc định sẽ được sử dụng."
"The external full page cache has been cleaned.","Tòan bộ trang cache bên ngòai đã được xóa."
"Zend Full Page Cache","Tòan bộ trang Cache zend"
