"%s %s cycle.","%s %s cycle."
"--Please Select--","--Xin vui lòng chọn--"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Credit Card Validation","3D Secure Credit Card Validation"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Allow Initial Fee Failure"
"An internal reference ID is required to save the payment profile.","An internal reference ID is required to save the payment profile."
"Authorize action is not available.","Authorize action is not available."
"Auto Bill on Next Cycle","Auto Bill on Next Cycle"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments)."
"Bank Transfer Payment","Chuyển tiền ngân hàng"
"Billing Agreement status is not set.","Billing Agreement status is not set."
"Billing Amount","Billing Amount"
"Billing Frequency","Billing Frequency"
"Billing Period","Thời gian thanh tóan"
"Billing Period Unit","Billing Period Unit"
"Billing period unit is not defined or wrong.","Đơn vị thời hạn thanh tóan không được xác định hoặc sai"
"Cannot retrieve the payment info model object.","Cannot retrieve the payment info model object."
"Cannot retrieve the payment information object instance.","Cannot retrieve the payment information object instance."
"Cannot retrieve the payment method code.","Không thể lấy mã phương thức thanh tóan."
"Cannot retrieve the payment method model object.","Cannot retrieve the payment method model object."
"Capture action is not available.","Capture action is not available."
"Card Verification Number","Số xác minh thẻ"
"Cash On Delivery Payment","Cash On Delivery Payment"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Check / Money Order"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Lọai thẻ tín dụng"
"Credit Card Types","Nhiều lọai thẻ tín dụng"
"Credit card number mismatch with credit card type.","Số thẻ tín dụng không phù hợp với lọai thẻ tín dụng."
"Credit card type is not allowed for this payment method.","Lọai thẻ tín dụng không được phép cho phương thức thanh tóan này."
"Currency","Tiền tệ"
"Currency code is undefined.","Mã tiền tệ không được xác định."
"Customer ID is not set.","ID khách hàng không được thiết lập."
"Day","Day"
"Debug Mode","Debug Mode"
"Enabled","Được kích họat"
"Expiration Date","Ngày hết hạn"
"Full name of the person receiving the product or service paid for by the recurring payment.","Tên đầy đủ của người nhận được sản phẩm hoặc dịch vụ trả tiền cho việc thanh tóan định kỳ."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Initial Fee","Phí ban đầu"
"Initial non-recurring payment amount due immediately upon profile creation.","Initial non-recurring payment amount due immediately upon profile creation."
"Instructions","Hướng dẫn"
"Internal Reference ID","Internal Reference ID"
"Invalid Credit Card Number","Số thẻ tín dụng không hợp lệ"
"Issue Number","Số phát hành"
"Make Check Payable to","Make Check Payable to"
"Make Check payable to:","Make Check payable to:"
"Make Check payable to: %s","Make Check payable to: %s"
"Maximum Billing Cycles","Maximum Billing Cycles"
"Maximum Order Total","Maximum Order Total"
"Maximum Payment Failures","Maximum Payment Failures"
