"-OR-","-OR-"
"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"API Authentication Methods","API Authentication Methods"
"API Certificate","API Certificate"
"API Password","API Password"
"API Signature","API Signature"
"API Username","API Username"
"API Uses Proxy","API Uses Proxy"
"Ability for buyer to purchase without PayPal account.","Khả năng cho người mua để mua mà không cần tài khỏang PayPal."
"Accept credit card and PayPal payments securely.","Chấp nhận thẻ tín dụng và thanh tóan PayPal một cách an tòan."
"Accept credit cards, debit cards and PayPal payments securely.","Chấp nhận thẻ tín dụng, thẻ debit và thanh tóan PalPay một cách an tòan."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Chấp nhận thanh tóan giỏ hàng của bạn. PayPal sẽ xử lý thẻ thanh tóan của bạn thông qua cổng Payflow."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Accept payments with a completely customizable checkout page.","Accept payments with a completely customizable checkout page."
"Accept payments with a completely customizable checkout.","Accept payments with a completely customizable checkout."
"Acceptance Mark","Acceptance Mark"
"Acceptance Mark Image","Acceptance Mark Image"
"Account-to-Account Payment, initiated by PayPal","Việc thanh tóan tài khỏan đến tài khoản, khởi xướng bởi PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Thêm PayPal như là một phương thức thanh tóan bổ sung cho trang thanh tóan của bạn để tăng doanh thu của bạn."
"Add PayPal as an additional payment method to your checkout page.","Thêm PayPal như là một phương thức thanh tóan bổ sung cho trang thanh tóan của bạn."
"Add another payment method to your existing solution or as a stand-alone option.","Thêm một phương thức thanh tóan khác đến giải pháp hiện tại của bạn hoặc là một lựa chọn độc lập."
"Additional Options","Thêm tùy chọn"
"Address","Địa chỉ"
"Address Verification System Response","Address Verification System Response"
"Advanced Settings","Cài đặt nâng cao"
"All the address information matched","Tất cả thông tin địa chỉ phù hợp"
"Allow in Billing Agreement Wizard","Allow in Billing Agreement Wizard"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Allowed Credit Card Types","Lọai thẻ tín dụng được cho phép"
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Ask Customer","Yêu cầu khách hàng"
"Attempted Authentication, Bad Result","Attempted Authentication, Bad Result"
"Attempted Authentication, Good Result","Attempted Authentication, Good Result"
"Auction Payment other than through eBay","Auction Payment other than through eBay"
"Authenticated, Bad Result","Authenticated, Bad Result"
"Authenticated, Good Result","Authenticated, Good Result"
"Authorization","Authorization"
"Authorization Honor Period (days)","Authorization Honor Period (days)"
"Authorization transaction is required to void.","Authorization transaction is required to void."
"Authorized amount of %s.","Authorized amount of %s."
"Authorizing amount of %s is pending approval on gateway.","Authorizing amount of %s is pending approval on gateway."
"Auto","Auto"
"AutoSweep","AutoSweep"
"Available Balance","Available Balance"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Basic Settings - PayPal Express Checkout","Basic Settings - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Basic Settings - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Basic Settings - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Basic Settings - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Basic Settings - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Basic Settings - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Basic Settings - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Basic Settings - PayPal Payments Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard","Basic Settings - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Basic Settings - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Basic Settings - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Basic Settings - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Basic Settings - PayPal Website Payments Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Basic Settings - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Billing Address","Địa chỉ thanh tóan"
"Billing Agreement Signup","Billing Agreement Signup"
"Bonus for first ACH Use","Bonus for first ACH Use"
"Both section above must be complete. ","Cả hai phần trên phải được hòan thành. "
"Buyer Credit Payment","Buyer Credit Payment"
"Buyer\'s Tax ID","Buyer\'s Tax ID"
"Buyer\'s Tax ID Type","Buyer\'s Tax ID Type"
"By default it is ""reports.paypal.com"".","By default it is ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","CVV Entry is Editable"
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"Can not send new order email.","Can not send new order email."
"Cannot create target file for reading reports.","Cannot create target file for reading reports."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel Custom API URL"
"Charge-off","Charge-off"
"Chargeback","Chiết khấu"
"Chargeback by customer.","Khỏang chiết khấu của khách hàng."
"Checkout with PayPal","Thanh tóan với PayPal"
"Choose a secure bundled payment solution for your business.","Chọn một giải pháp thanh tóan đi kèm an tòan cho doanh nghiệp của bạn."
"City","Thành phố"
"Click here if you are not redirected within 10 seconds...","Nhấn vào đây nếu bạn không được chuyển trong vòng 10 giây..."
"Close","Đóng"
"Company","Công tỳ"
"Completion Date","Ngày hòan thành"
"Configure","Configure"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Cho phép kết nối tài khỏan thương gia của bạn với một cổng PCI cho phép khách hàng trả tiền mà không rời khỏi trang web của bạn."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Kết nối tới máy chủ PayPal SFTP để lấy báo cáo mới. Bạn có chắc bạn muốn tiếp tục?"
"Continue","Continue"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Country","Quốc gia"
"Coupon Redemption","Coupon Redemption"
"Credit","Credit"
"Credit Card Settings","Credit Card Settings"
"Currency Conversion required to cover negative balance","Currency Conversion required to cover negative balance"
"Custom","Custom"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"Custom Path","Custom Path"
"Customer Information","Thông tin khách hàng"
"Customer complaint.","Khiều nại của khách hàng."
"Customer did not include a confirmed address.","Khách hàng không bao gồm một địa chỉ được xác nhận."
"Customer triggered a money-back guarantee.","Customer triggered a money-back guarantee."
"Daily","Daily"
"Debit","Thẻ Debit"
"Debit Card Cash Back","Tiền trả lại thẻ Debit "
"Debit Card Transaction","Giao dịch của thẻ Debit"
"Debit or Credit","Debit hoặc thẻ tín dụng"
"Debug Mode","Debug Mode"
"Direct Payment API","API thanh tóan trực tiếp"
"Discount","Giảm giá"
"Display Express Checkout in the Payment Information step","Hiển thị Express Checkout trong bước thông tin thanh tóan"
"Displays on catalog pages and homepage.","Hiển thị trên các trang danh mục và trang chủ."
"Don't have a PayPal account? Simply enter your email address.","Không có tài khỏan PayPal? đơn giản chỉ cần nhập địa chỉ email của bạn."
"Dynamic","Dynamic"
"EFT Funding (German banking)","Quỹ EFT (ngân hàng Đức)"
"Edit Shopping Cart","Sửa giỏ hàng"
"Email Address","Địa chỉ email"
"Email Associated with PayPal Merchant Account","Email kết hợp với tài khỏan Merchant PayPal"
"Email Associated with PayPal Merchant Account (Optional)","Email kết hợp với tài khoản Merchant PayPal ( không bắt buộc )"
"Enable Automatic Fetching","Enable Automatic Fetching"
"Enable Express Checkout","Enable Express Checkout"
"Enable PayPal Guest Checkout","Cho phép tài khỏan khách PayPal thanh tóan"
"Enable Payflow Link","Cho phép liên kết Payflow"
"Enable SSL verification","Cho phép xác minh SSL"
"Enable this Solution","Cho phép giải pháp này"
"Enabled","Đựơc cho phép"
"Event","Event"
"Event Code","Event Code"
"Every 10 days","Every 10 days"
"Every 14 days","Every 14 days"
"Every 3 days","Every 3 days"
"Every 30 days","Every 30 days"
"Every 40 days","Every 40 days"
"Every 7 days","Every 7 days"
"Exact Match. Address and Postal Code. International","Kết hợp chính xác. Địac chỉ và mã nước. Quốc tế"
"Exact Match. Address and Postal Code. UK-specific","Exact Match. Address and Postal Code. UK-specific"
"Exact Match. Address and nine-digit ZIP code","Kết hợp chính xác. Địa chỉ và chín chữ số mã ZIP"
"Express Checkout","Express Checkout"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Failed to fetch reports from '%s@%s'.","Không thể lấy báo cáo từ '%s@%s'."
"Fax","Fax"
"Fee Amount","Số tiền lệ phí"
"Fee Debit or Credit","Lệ phí Debit hoặc tín dụng"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Fetch","Fetch"
"Fetch Updates","Fetch Updates"
"Fetched %s report rows from '%s@%s'.","Fetched %s report rows from '%s@%s'."
"For Virtual Quotes Only","For Virtual Quotes Only"
"Frontend Experience Settings","Frontend Experience Settings"
"Funding","Funding"
"General (Authorization)","General (Authorization)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","Chung (chuyển tiền từ tài khỏan PayPal tới một tài khỏan khác)"
"General (Purchase with a credit card)","Chung ( mua bằng thẻ tín dụng)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","Chuyển đổi tiền tệ chung"
"General Funding of PayPal Account ","Quỷ chung của tài khỏan PayPal "
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","Tổng tiền phải rút từ tài khỏan PayPal"
"General. Product no longer supported","Chung. Sản phẩm không còn được hỗ trợ"
"General: Use of PayPal account for purchasing as well as receiving payments","Chung: Sử dụng tài khỏan PayPal để mua cũng như nhận thanh tóan"
"General: Withdrawal from PayPal Account","Chung: rút tiền từ tài khoản PayPal"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","Chung: điều chỉnh của một lọai không thuộc lọai danh mục T12xx khác"
"General: bonus of a type not belonging to the other T08xx categories","Chung: tiền của một lọai không thuộc lọai danh mục T08xx khác"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","Chung: phí không tóan của một lọai không thuộc lọai danh mục T01xx khác"
"General: received payment of a type not belonging to the other T00xx categories","Chung: nhận được thanh tóan của một lọai không thuộc danh mục T00xx khác"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","Chung: giữ tạm thời của một lọai không thuộc danh mục T15xx khác"
"Get Credentials from PayPal","Lấy mật khẩu từ tài khỏan PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Gift Certificate Payment: purchase of Gift Certificate"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Gross Amount","Gross Amount"
"Header Background Color","Header Background Color"
"Header Border Color","Header Border Color"
"Header Image URL","Header Image URL"
"Help","Help"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Nếu rỗng, một giá trị mặc định sẽ được sử dụng. Tùy chỉnh URL có thể được cung cấp bởi CardinalCommerce."
"If not specified, Default Country from General Config will be used","Nếu không được xác định, giá trị mặc định từ cấu hình chung sẽ được sử dụng"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Nếu tùy chọn này đuợc cho phép, khách hàng có thể thay đổi địa chỉ vận chuyển và phương thức vận chuyển trên website của PayPal. Trong chế độ công việc thông qua giao thức HTTPS protocol."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Nếu không có nhiều người dùng thiết lập trên tài khỏan của bạn,xin vui lòng nhập lại người bán hàng của bạn/Merchant đăng nhập ở đay."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossible to issue a refund transaction because the capture transaction does not exist."
"Incentive","Khuyến khích"
"Initiation Date","Ngày bắnt đầu"
"Integral Evolution","Integral Evolution"
"Invoice ID","Invoice ID"
"Issuer Liability","Issuer Liability"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Nên đặt giá trị này là ""Thẻ Debit hoặc credit "" mỗi store views."
"It is recommended to set this value to ""PayPal"" per store views.","Nên đặt giá trị này là ""PayPal"" mỗi store views."
"Items in Your Shopping Cart","Sản phẩm trong giỏ hàng của bạn"
"Last Correlation ID","Last Correlation ID"
"Last Transaction ID","Last Transaction ID"
"Learn More","Learn More"
"Login","Đăng nhập"
"Mass Pay Payment","Mass Pay Payment"
"Matched (CVV2)","Phù hợp (CVV2)"
"Matched (CVV2CSC)","Phù hợp (CVV2CSC)"
"Matched Address only (no ZIP)","Phù hợp chỉ với địa chỉ (không ZIP)"
"Matched Address only (no ZIP). International","Phù hợp chỉ với địa chỉ (không ZIP). Quốc tế"
"Matched Postal Code only (no Address)","Phù hợp chỉ với mã nước (không địa chỉ)"
"Matched five-digit ZIP only (no Address)","Phù hợp chỉ với ZIP năm chữ số(không địac chỉ)"
"Matched whole nine-didgit ZIP (no Address)","Phù hợp với tòan bộ ZIP năm chữ số (không địa chỉ)"
"Merchant Account","Tài khỏan doanh nghiệp"
"Merchant Country","Merchant Country"
"Merchant Liability","Merchant Liability"
"Merchant Location","Địa chỉ doanh nghiệp"
"Merchant Protection Eligibility","Merchant Protection Eligibility"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Doanh nghiệp giữ tài khỏan không phải là U.S và không có cơ chế rút tiền ."
"Merchant reference ID format is not supported.","Doanh nghiệp liên quan đến định dạng ID không được hỗ trợ."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Doanh nghiệp cần áp dụng PayPal để cho phép tính năng thỏa thuận thanh tóan. Không cho phép tùy chọn này cho đến khi PayPal xác nhận rằng thỏan thuận thanh tóan được cho phép cho tài khỏan doanh nghiệp."
"Mobile Payment (made via a mobile phone)","Thanh tóan bằng điện thọai ( được thực hiện thông qua một chiếc điện thọai)"
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Doanh nghiệp đã chỉ định rằng CVV2 không có mặt trên thẻ"
"N/A. No response","N/A. No response"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Không được phép giao dịch MOTO (Internet/điện thọai)"
"N/A. Not processed","N/A. Không được xử lý"
"N/A. Retry","N/A. thử lại"
"N/A. Service not Supported","N/A. Dịch vụ không được hỗ trợ"
"N/A. Service not available","N/A. Dịch vụ không có sẳn"
"N/A. Service not supported","N/A. Dịch vụ không được hỗ trợ"
"N/A. The merchant did not provide AVS information","N/A. Doanh nghiệp không cung cấp thông tin AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Doanh nghiệp không cài đặt mã xử lý CVV2"
"N/A. Unavailable","N/A. Unavailable"
"Negative Balance","Negative Balance"
"Never","Never"
"No","No"
"No Details matched","Không phù hợp với chi tiết"
"No Details matched. International","Không phù hợp với chi tiết. Quốc tế"
"No Liability Shift","No Liability Shift"
"No Logo","No Logo"
"No match","Không phù hợp"
"None of the address information matched","Không có thông tin địa chỉ phù hợp"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Không chắc phương thức thanh tóan nào được sử dụng ? nhấn <a href=""%s"" target=""_blank"">ở đây</a> để tìm hiểu thêm."
"Note: %s","Note: %s"
"Nothing to fetch because of an empty configuration.","Không có gì để lấy bởi vì một cấu hình trống."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Chú ý rằng PayPal có thể xử lý tới 10 tùy chọn vận chuyển. Đó là lý do tại sao Magento sẽ chuyển 10 tùy chọn vận chuyển rẻ nhất đầu tiên nếu có nhiều hơn 10 tùy chọn."
"Notified customer about creditmemo #%s.","Thông báo cho khách hàng về creditmemo #%s."
"Notified customer about invoice #%s."," Thông báo cho khách hàng về hóa đơn #%s."
