"Alert Email Sender","Cảnh báo người gởi email"
"Alert subscription has been saved.","Alert subscription has been saved."
"Allow Alert When Product Comes Back in Stock","Cho phép đưa ra thông báo báo khi sản phẩm chở lại kho"
"Allow Alert When Product Price Changes","Cho phép đưa ra thông báo khi giá sản phẩm thay đổi"
"Click here not to receive alerts for this product","Nhấn vào đây để không nhận được thông báo về sản phẩm này"
"Error Email Recipient","Lỗi người nhận email"
"Error Email Sender","Lỗi người gởi email"
"Error Email Template","Error Email Template"
"Frequency","Frequency"
"Not enough parameters.","Không đủ tham số."
"Price Alert Email Template","Price Alert Email Template"
"Price:","Giá:"
"Product Alerts","Thông báo sản phẩm"
"Product Alerts Run Settings","Thông bái sản phẩm chạy cài đặt"
"Product alerts Cron error","Product alerts Cron error"
"Product price alert","Thông báo giá sản phẩm"
"Product stock alert","Product stock alert"
"Regular Price:","Giá thông thường:"
"Sign up for price alert","Đăng ký thông báo giá"
"Sign up to get notified when this product is back in stock","Đăng ký để nhận được thông báo khi sản phẩm này trở lại trong kho"
"Special price:","Giá đặc biệt:"
"Start Time","Thời gian bắt đầu"
"Stock Alert Email Template","Stock Alert Email Template"
"The alert subscription has been deleted.","The alert subscription has been deleted."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","Sản phẩm không tìm thấy."
"The product was not found.","sản phẩm đã không được tìm thấy."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"Unsubscribe from all price alerts","Unsubscribe from all price alerts"
"Unsubscribe from all stock alerts","Unsubscribe from all stock alerts"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bạn nhận được thông báo vì bạn đã đăng ký để nhận thông báo khi các sản phẩm sau trở lại trong kho:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bạn nhận được thông báo này vì bạn đã đăng ký để nhận thông báo khi giá cho các sản phẩm sau đây thay đổi:"
"You will no longer receive price alerts for this product.","Bạn sẽ không còn nhận được thông báo giá cho sản phẩm này."
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product."
"You will no longer receive stock alerts.","You will no longer receive stock alerts."
