"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Rating","Thêm mới Rating"
"Assigned Options","Assigned Options"
"Be the first to review this product","Be the first to review this product"
"Default Value","Giá trị mặc định"
"Delete Rating","Xóa Rating"
"Edit Rating","Sửa Rating"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Nếu bạn xác định tiêu đề rating cho một store, giá trị mặc định sẽ được sử dụng."
"Manage Ratings","Quản lý Ratings"
"New Rating","Rating mới"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Xin vui lòng chọn một trong những rating trên"
"Rating Information","Thông tin Rating"
"Rating Name","Tên Rating"
"Rating Options","Rating Options"
"Rating Title","Tiêu đề Rating"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","Rating với cùng tiều đề"
"Save Rating","Lưu Rating"
"Sort Order","Sắp xếp theo thứ tự"
"Visible In","Visible In"
