"""%s"" coupon code is not valid.","""%s"" Mã phiếu giảm giá không hợp lệ."
"%s","%s"
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s order(s) cannot be canceled"
"%s order(s) have been canceled.","%s order(s) have been canceled."
"%s order(s) have been put on hold.","%s order(s) have been put on hold."
"%s order(s) have been released from holding status.","%s order(s) have been released from holding status."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"-- Please Select --","-- Xin vui lòng chọn --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"About This Order:","About This Order:"
"About This Profile:","About This Profile:"
"About Your Invoice","About Your Invoice"
"About Your Order","About Your Order"
"About Your Refund","About Your Refund"
"About Your Shipment","About Your Shipment"
"Accept Payment","Chấp nhận thanh tóan"
"Accept or Deny Payment","Chấp nhận hoặc từ chối thanh tóan"
"Account Information","Thông tin tài khỏan"
"Action","Action"
"Actions","Actions"
"Activate","Kích họat"
"Active","Active"
"Add","Thêm"
"Add New Address","Thêm địa chỉ mới"
"Add Order Comments","Add Order Comments"
"Add Package","Thêm gói"
"Add Products","Thêm sản phẩm"
"Add Selected Product(s) to Option","Thêm sản phẩm được chọn đến Option"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Add To Order","Add To Order"
"Add Tracking Number","Add Tracking Number"
"Add comment to order","Add comment to order"
"Add new comment to credit memo","Add new comment to credit memo"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","Thêm vào giỏ hàng"
"Additional Product Info","Thông tin sản phẩm"
"Address","Địa chỉ"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","Phí điều chỉnh"
"Adjustment Refund","Adjustment Refund"
"Agreement Information","Agreement Information"
"Allow Reorder","Allow Reorder"
"Amount","Số tiền"
"Amount: %s.","Số tiền: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while creating shipping label.","Đã xảy ra lỗi trong khi tạo ra nhãn vận chuyển."
"An error occurred while saving order status. The status has not been added.","Một lỗi đã xuất hiện khi lưu trạng thái hóa đơn. Trạng thái không được thêm vào."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","An item option with code %s already exists."
"Anchor Custom Title","Anchor Custom Title"
"Append Comments","Append Comments"
"Apply","Apply"
"Apply Coupon Code","Áp dụng mã giảm giá"
"Approved the payment online.","Phê duyệt thanh tóan trực tuyến."
"Are you sure you want to accept this payment?","Bạn có chắc là bạn chấp nhận phương thức thanh tóan này?"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Are you sure you want to delete all items from shopping cart?","Bạn có chắc là bạn muốn xóa tất cả sản phẩm trong giỏ hàng không?"
"Are you sure you want to deny this payment?","Bạn có chắc là bạn muốn từ chối thanh tóan này?"
"Are you sure you want to do this?","Bạn có chắc là bạn muốn làm điều này?"
"Are you sure you want to send Creditmemo email to customer?","Bạn có chắc là bạn muốn gởi email email Creditmemo tới khách hàng?"
"Are you sure you want to send Invoice email to customer?","Bạn có chắc là bạn muốn gởi email Invoice tới khách hàng?"
"Are you sure you want to send Shipment email to customer?","Are you sure you want to send Shipment email to customer?"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Are you sure you want to void the payment?","Bạn có chắc là bạn muốn làm mất hiệu lực thanh tóan?"
"Are you sure?","Bạn có chắc không?"
"Are you sure? This order will be canceled and a new one will be created instead","Bạn có chắc không? Hóa đơn này sẽ bị hủy và một hóa đơn mới sẽ được tạo ra thay"
"Assign Order Status to State","Assign Order Status to State"
"Assign Status to State","Assign Status to State"
"Assignment Information","Assignment Information"
