"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Phiếu giảm giá đã được tạo ra"
"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Đã xảy ra lỗi khi tạo ra phiếu giảm giá. Xin vui lòng xem lại log và thử lại."
"Apply","Apply"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Chỉ áp dụng qui tắc nếu các điều kiện sau đây được thỏa (để trống cho tất cả sản phẩm)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Are you sure you want to delete the selected coupon(s)?","Bạn có chắc chắn là muốn xóa phiếu giảm đang được chọn không?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Tự động tạo ra mã phiếu giảm giá cụ thể "
"Buy X get Y free (discount amount is Y)","Mua X lấy miễn phí Y  (số tiền giảm giá là Y)"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Can\'t acquire coupon.","Không thể có được phiếu giảm giá."
"Cart Attribute","Thuộc tính giỏ hàng"
"Catalog","Catalog"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","Conditions"
"Conditions combination","Kết hợp điều kiện"
"Coupon","Phiếu giảm giá"
"Coupon Code","Mã phiếu giảm giá"
"Coupon Qty","Số lượng phiếu giảm giá"
"Coupon with the same code","Phiếu giảm gía với cùng một mã"
"Coupons Information","Thông tin phiếu giảm giá"
"Created On","Created On"
"Customer Groups","Customer Groups"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","Ngày hết hạn"
"Date Start","Ngày bắt đầu"
"Default Label","Nhãn mặc định"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Description","Mô tả"
"Discount Amount","Số tiền giảm giá"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Excluding prefix, suffix and separators.","Không bao gồm tiền tố, hậu tố và phân cách"
"FOUND","FOUND"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free Shipping","Vận chuyển miễn phí"
"From Date","From Date"
"General Information","Thông tin chung"
"Generate","Generate"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","If empty no separation."
"If you select and save the rule you will be able to generate multiple coupon codes.","Nếu bạn chọn và lưu các quy tắc bạn sẽ có thể tạo ra nhiều mã phiếu giảm giá."
"Inactive","Inactive"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Manage Coupon Codes","Quản lý mã phiếu giảm giá"
"Maximum Qty Discount is Applied To","Số lượng giảm giá tối đa được áp dụng"
"NOT FOUND","KHÔNG TÌM THẤY"
"NOT LOGGED IN","KHÔNG ĐƯỢC ĐĂNG NHẬP"
"New Rule","New Rule"
"No","No"
"No Coupon","No Coupon"
"Not valid data provided","Không cung cấp dữ liệu hợp lệ"
"Number of Uses","Number of Uses"
"Numeric","Numeric"
"Payment Method","Phương thức thanh tóan"
"Percent of product price discount","Tỷ lệ phần trăm giảm giá sản phẩm"
"Period","Period"
"Price in cart","Giá trong giỏ hàng"
"Priority","Ưu tiên"
"Product attribute combination","Kết hợp thuộc tính sản phẩm"
"Products subselection","Products subselection"
"Promotions","Khuyến mãi"
"Public In RSS Feed","Public In RSS Feed"
"Quantity in cart","Số lượng trong giỏ hàng"
"Row total in cart","Tổng số dòng trong giỏ hàng"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule is not defined","Rule is not defined"
"Sales Discount Amount","Số tiền bán hàng giảm giá"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Tổng số tiền bán hàng"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Shipping Country","Quốc gia vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"Shipping Postcode","Mã nước vận chuyển"
"Shipping Region","Vùng vận chuyển đến"
"Shipping State/Province","Shipping State/Province"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special Price","Giá đặc biệt"
"Specific Coupon","Phiếu giảm giá cụ thể"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Store View Specific Labels"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","This rule no longer exists."
"Times Used","Thời gian được sử dụng"
"To Date","To Date"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Total","Tổng"
"Total Amount","Tổng số tiền"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Unable to create requested Coupon Qty. Please check settings and try again.","Không thể tạo ra số lượng phiếu giảm giá được yêu cầu. Xin vui lòng kiểm tra lại cài đặt và thử lại ."
"Unable to find a rule to delete.","Unable to find a rule to delete."
