" for more information or "," Để biết thêm thông tin hoặc "
"# of Items (and above)","# of Items (and above)"
"# of Items vs. Destination","# of Items vs. Destination"
"Allow Shipping to Multiple Addresses","Cho phép vận chuyển đến nhiều địa chỉ"
"An error occurred while import table rates.","An error occurred while import table rates."
"Calculate Handling Fee","Calculate Handling Fee"
"Carrier:","Carrier:"
"City","Thành phố"
"Close Window","Đóng cửa sổ"
"Condition","Điều kiện"
"Country","Quốc gia"
"Date","Ngày"
"Delivered on:","Delivered on:"
"Delivered to:","Delivered to:"
"Description","Mô tả"
"Displayed Error Message","Đã hiển thị thông điệp lỗi"
"Divide to equal weight (one request)","Divide to equal weight (one request)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")."
"Enabled","Enabled"
"Error:","Lỗi:"
"Export","Export"
"File has not been imported. See the following list of errors: %s","File không được import. Xem danh sách lỗi sau đây: %s"
"Fixed","Fixed"
"Flat Rate","Flat Rate"
"Free Shipping","Vận chuyển miễn phí"
"Google Sitemap Section","Mục Google Sitemap"
"Handling Fee","Handling Fee"
"Import","Import"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s."," %s ""%s"" không hợp lệ trong dòng #%s."
"Invalid Country ""%s"" in the Row #%s."," ""%s"" quốc gia không hợp lệ trong dòng #%s."
"Invalid Region/State ""%s"" in the Row #%s."," ""%s"" vùng/bang không hợp lệ trong dòng #%s."
"Invalid Shipping Price ""%s"" in the Row #%s."," ""%s"" giá vận chuyển không hợp lệ trong dòng #%s."
"Invalid Table Rate code for type %s: %s","Invalid Table Rate code for type %s: %s"
"Invalid Table Rate code type: %s","Invalid Table Rate code type: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Local Time","Local Time"
"Location","Location"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Số lượng tối đa được phép để vận chuyển tới nhiều địa chỉ"
"Method Name","Method Name"
"Minimum Order Amount","Minimum Order Amount"
"N/A","N/A"
"None","None"
"Options","Options"
"Order Subtotal (and above)","Order Subtotal (and above)"
"Origin","Origin"
"Per Order","Per Order"
"Per Package","Per Package"
"Percent","Percent"
"Price","Giá"
"Price vs. Destination","Giá và điểm đến"
"Region/State","Vùng/bang"
"Service Type:","Lọai dịch vụ:"
"Ship to Applicable Countries","Vận chuyển tới quốc gia thích hợp"
"Ship to Specific Countries","Vận chuyển tới quốc gia cụ thể"
"Shipment #","Shipment #"
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Shipped or billed on:"
"Shipping Methods","Phương thức vận chuyển"
"Shipping Methods Section","Mục phương thức vận chuyển"
"Shipping Settings","Cài đặt vận chuyển"
"Shipping Settings Section","Mục cài đặt vận chuyển"
"Show Method if Not Applicable","Hiển thị phương thức nếu nó không phù hợp"
"Signed by:","Signed by:"
"Sort Order","Sort Order"
"Status:","Status:"
"Store Pickup","Store Pickup"
"Street Address","Street Address"
"Street Address Line 2","Street Address Line 2"
"Table Rates","Table Rates"
"The shipping module is not available for selected delivery country.","The shipping module is not available for selected delivery country."
"The shipping module is not available.","The shipping module is not available."
"There is no tracking available for this shipment.","There is no tracking available for this shipment."
"There is no tracking available.","There is no tracking available."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Phương thức vận chuyển này hiện tại không có. Nếu bạn muốn vận chuyển sử dụng phương thức này, xin vui lòng liên hệ với chúng tôi."
"This shipping method is not available, please specify ZIP-code","Phương thức vận chuyển này không có, xin vui lòng xác định mã ZIP"
"Title","Tiêu đề"
"Track:","Track:"
"Tracking Information","Tracking Information"
"Tracking Number:","Tracking Number:"
"Tracking information is currently not available. Please ","Tracking information is currently not available. Please "
"Tracking information is currently unavailable.","Tracking information is currently unavailable."
"Type","Type"
"Use origin weight (few requests)","Use origin weight (few requests)"
"Weight (and above)","Weight (and above)"
"Weight vs. Destination","Weight vs. Destination"
"Weight:","Weight:"
"ZIP/Postal Code","ZIP/Postal Code"
"contact us","Liên hệ với chúng tôi"
"email us at ","email us at "
