"Action","Action"
"Add Sitemap","Thêm Sitemap"
"Always","Always"
"CMS Pages Options","Tùy chọn CMS Pages"
"Categories Options","Tùy chọn danh mục"
"Daily","Daily"
"Edit Sitemap","Sửa Sitemap"
"Enabled","Enabled"
"Error Email Recipient","Lỗi người nhận email"
"Error Email Sender","Lỗi gởi email"
"Error Email Template","Error Email Template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" không thể được lưu. Xin vui lòng, chắc chắn rằng thư mục ""%s"" được ghi với web server."
"Filename","Filename"
"Frequency","Frequency"
"Generate","Generate"
"Generation Settings","Generation Settings"
"Google Sitemap","Google Sitemap"
"Hourly","Hourly"
"ID","ID"
"Last Time Generated","Last Time Generated"
"Link for Google","Link for Google"
"Monthly","Monthly"
"Never","Never"
"New Sitemap","New Sitemap"
"Path","Path"
"Please create the specified folder ""%s"" before saving the sitemap.","Xin vui lòng tạo ra folder cụ thể ""%s"" trước khi lưu vào sitemap."
"Please define correct path","Xin vui lòng xác định đúng đường dẫn"
"Please make sure that ""%s"" is writable by web-server.","Xin vui lòng chắc chắn rằng ""%s"" được ghi bởi web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Xin vui lòng chỉ sử dụng ký tự từ (a-z or A-Z), số (0-9) hoặc dấu gạch dưới(_) trong filename. Không có khỏang trắng hoặc ký tự khác được cho phép."
"Priority","Ưu tiên"
"Products Options","Tùy chọn sản phẩm"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap tạo ra cảnh báo"
"Start Time","Thời gian bắt đầu"
"Store View","Store View"
"The priority must be between 0 and 1.","Ưu tiên phải ở giữ 0 và 1."
"The sitemap ""%s"" has been generated.","The sitemap ""%s"" đã được tạo ra."
"The sitemap has been deleted.","The sitemap đã bị xóa."
"The sitemap has been saved.","The sitemap đã được lưu."
"This sitemap no longer exists.","This sitemap không tồn tại."
"Unable to find a sitemap to delete.","Không thể tìm thấy sitemap để xóa."
"Unable to find a sitemap to generate.","Không thể tìm thấy sitemap để tạo ra."
"Unable to generate the sitemap.","Không thể tạo ra sitemap."
"Valid values range: from 0.0 to 1.0.","Dãy giá hợp lệ: từ 0.0 đến 1.0."
"Weekly","Hàng tuần"
"Yearly","Hàng năm"
