"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation.","%s tag(s) have been accepted for moderation."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Action"
"Add","Add"
"Add New Tag","Thêm Tag mới"
"Add Tags","Thêm Tags"
"Add Your Tags:","Add Your Tags:"
"Add tag(s) to product","Thêm tag tới sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào Wishlist"
"All Tags","All Tags"
"Approved","Approved"
"Are you sure you want to delete this tag?","Bạn có chắc là bạn muốn xóa tag này?"
"Are you sure you want to do this?","Bạn có chắc là bạn muốn làm việc này?"
"Are you sure?","Bạn có chắc không?"
"Back","Trở lại"
"Back to Tags List","Back to Tags List"
"Base Popularity","Base Popularity"
"Block Information","Thông tin Block"
"CSV","CSV"
"Catalog Product View","Catalog Product View"
"Change status","Change status"
"Click on a tag to view your corresponding products.","Nhấp chuột vào một tag để xem các sản phẩm tương ứng của bạn."
"Country","Quốc gia"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","Khách hàng từ"
"Customers","Khách hàng"
"Customers Submitted this Tag","Khách hàng đã gởi Tag này"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Xóa"
"Delete Tag","Xóa Tag"
"Disabled","Đã vô hiệu"
"Edit Tag '%s'","Xóa tag '%s'"
"Email","Email"
"First Name","Tên"
"General Information","Thông tin chung"
"Grid","Grid"
"ID","ID"
"Info","Info"
"Last Name","Họ"
"List","Liệt kê"
"Manage Tags","Quản lý Tags"
"My Recent Tags","My Recent Tags"
"My Tags","My Tags"
"Name","Tên"
"New Tag","Tag mới"
"No matches found.","No matches found."
"Other people marked this product with these tags:","Người khác đã đánh dấu sản phẩm này với thẻ này:"
"Pending","Pending"
"Pending Tags","Pending Tags"
"Popular","Phổ biến"
"Popular Tags","Tags phổ biến"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product SKU","SKU của sản phẩm"
"Product Tag API","Product Tag API"
"Product Tags","Product Tags"
"Products","Sản phẩm"
"Products Tagged by Administrators","Sản phẩm được Tag bởi Administrators"
"Products Tagged by Customers","Sản phẩm được Tagg bởi khách hàng"
"Products Tagged with '%s'","sản phẩm được tag với '%s'"
"Products tagged with '%s'","Sản phẩm được tag với '%s'"
"Rebuild Tag aggregation data","Xây dựng lại dữ liệu tập hợp tag"
"Remove","Gỡ bỏ"
"Remove product tag","Gỡ bỏ sản phẩm tag"
"Retrieve list of tags by product","Lấy danh sách tag bởi sản phẩm"
"Retrieve product tag info","Lấy thông tin sản phẩm tag"
"SKU","SKU"
"Save Tag","Lưu lại Tag"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Status","Status"
"Store View","Store View"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" đã được thêm vào sản phẩm."
"Tag ""%s"" has been added to the product.","Tag ""%s"" đã được thêm vào sản phẩm."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" đã bị từ chối bởi quản trị."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Tên Tag"
"Tagged Products List","Danh sách sản phẩm được Tag"
"Tags","Tags"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Tags:","Tags:"
"Telephone","Điện thọai"
"The tag has been deleted.","Tag đã bị xóa."
"There are no tags available.","There are no tags available."
"Unable to find any products tagged with '%s' in the current store","Không thể tìm thấy bất cứ sản phẩm nào được tag với '%s' trong store hiện tại"
"Unable to remove tag. Please, try again later.","Không thể gỡ bỏ tag. Xin vui lòng, thử lại sau."
"Unable to save tag(s).","Không thể lưu tag."
"Update","Cập nhật"
"Update product tag","Cập nhật sản phẩm tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Sử dụng khỏang trắng để tách các tag. Sử dụng dấu ngoặc đơn(')  cho các cụm từ."
"View All Tags","Hiển thị tất cả Tag"
"View Customers","Hiển thị khách hàng"
"View Products","Hiển thị sản phẩm"
"XML","XML"
"You have not tagged any products yet.","Bạn chưa được tag bất cứ sản phẩm nào."
"ZIP/Post Code","ZIP/Post Code"
"[STORE VIEW]","[STORE VIEW]"
