"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","-- Xin vui lòng chọn  --"
"Add New Class","Add New Class"
"Add New Tax Rate","Add New Tax Rate"
"Add New Tax Rule","Add New Tax Rule"
"After Discount","Sau khi giảm giá"
"An error occurred while deleting this rate.","Một lỗi đã xuất hiện khi xóa rate này."
"An error occurred while deleting this rate. Incorrect rate ID.","Một lỗi đã xuất hiện khi xóa rate này. ID rate không hợp lệ."
"An error occurred while deleting this tax class.","Một lỗi đã xuất hiện khi xóa lớp tax."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this tax class.","Một lỗi đã xuất hiện khi xóa lớp tax."
"An error occurred while saving this tax class. A class with the same name","Một lỗi đã xuất hiện khi lưu lớp tax này. Một lớp cùng tên"
"An error occurred while saving this tax rule.","An error occurred while saving this tax rule."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","Áp dụng giảm giá"
"Apply Tax On","Apply Tax On"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","Bạn có chắc là bạn muốn thực hiện điều này?"
"Back","Trở lại"
"Before Discount","Trước khi giảm giá"
"CSV","CSV"
"Calculation Settings","Cài đặt tính tóan"
"Catalog Prices","Mục giá"
"Class Name","Class Name"
"Code","Code"
"Country","Quốc gia"
"Custom price if available","Custom price if available"
"Customer Tax Class","Customer Tax Class"
"Customer Tax Class Information","Customer Tax Class Information"
"Customer Tax Classes","Customer Tax Classes"
"Default Country","Quốc gia mặc định"
"Default Post Code","Mã quốc gia mặc định"
"Default State","Default State"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Delete Class","Delete Class"
"Delete Rate","Delete Rate"
"Delete Rule","Delete Rule"
"Display Full Tax Summary","Hiển thị tòan bộ tóm tắt thông tin thuế"
"Display Prices","Hiển thị giá"
"Display Product Prices In Catalog","Hiển thị giá sản phẩm trong mục Catalog"
"Display Shipping Amount","Hiển thị số tiền vận chuyển"
"Display Shipping Prices","Hiển thị giá vận chuyển"
"Display Subtotal","Display Subtotal"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Edit Class"
"Edit Class '%s'","Edit Class '%s'"
"Edit Rule","Edit Rule"
"Edit Tax Rate","Edit Tax Rate"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Excluding Tax","Excluding Tax"
"Export Tax Rates","Export Tax Rates"
"Grand Total (Excl. Tax)","Grand Total (Excl. Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Inc. Tax","Inc. Tax"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Include Tax In Grand Total","Include Tax In Grand Total"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
"Invalid file format upload attempt","Nổ lực upload định dạng file không hợp lệ"
"Invalid file upload attempt","Nổ lực upload file không hợp lệ"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Manage Tax Rates"
"Manage Tax Rules","Manage Tax Rules"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","New Class"
"New Rule","New Rule"
"New Tax Rate","New Tax Rate"
"No","No"
"None","None"
"One of the country has invalid code.","Một trong những quốc gia có mã không hợp lệ."
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","Chỉ giá gốc"
"Price Display Settings","Cài đặt hiển thị giá"
"Priority","Ưu tiên"
"Product Tax Class","Product Tax Class"
"Product Tax Class Information","Product Tax Class Information"
"Product Tax Classes","Product Tax Classes"
"Range From","Range From"
"Range To","Range To"
"Rate","Rate"
"Rate Percent","Rate Percent"
"Reset","Phục hồi"
"Row Total","Tổng số dòng"
"Sales","Sales"
"Save Class","Save Class"
"Save Rate","Save Rate"
"Save Rule","Save Rule"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","Vận chuyển (không bào gồm thuế)"
"Shipping (Incl. Tax)","Vậ chuyển(bao gồm thuế)"
"Shipping Excl. Tax (%s)","Vận chuyển không bao gồm thuế (%s)"
"Shipping Incl. Tax (%s)","Vận chuyển bao gồm thuế (%s)"
"Shipping Prices","Giá vận chuyển"
"Shopping Cart Display Settings","Cài đặt hiển thị giỏ hàng"
"Sort Order","Sắp xếp theo thứ tự"
"State","State"
"State/Region","State/Region"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Tax","Tax"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Tax Rate"
"Tax Rate Information","Tax Rate Information"
"Tax Rule Information","Tax Rule Information"
"Tax Rules","Tax Rules"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"The tax class has been deleted.","The tax class has been deleted."
"The tax class has been saved.","The tax class has been saved."
"The tax rate has been deleted.","The tax rate has been deleted."
"The tax rate has been imported.","The tax rate has been imported."
"The tax rate has been saved.","The tax rate has been saved."
"The tax rule has been deleted.","The tax rule has been deleted."
"The tax rule has been saved.","The tax rule has been saved."
"This class no longer exists","This class no longer exists"
"This rule no longer exists","This rule no longer exists"
"This rule no longer exists.","This rule no longer exists."
"Total","Tổng cộng"
"Unit Price","Đơn vị giá"
"Whether catalog prices entered by admin include tax.","Nếu mục giá được nhập bởi admin bao gồm thuế."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"Yes","Yes"
"You cannot delete this tax class as it is used for %d customer groups.","Bạn không thể xóa lớp thuế này vì được dùng cho nhóm khách hàng %d."
"You cannot delete this tax class as it is used for %d products.","Bạn không thể xóa lớp thuế này vì nó được dùng cho sản phẩm %d."
