"All Websites","Tất cả Websites"
"Apply Discounts To FPT","Áp dụng giảm giá cho FPT"
"Apply Tax To FPT","Áp dụng Tax cho FPT"
"Display Prices In Emails","Hiển thị giá trong Emails"
"Display Prices In Product Lists","Hiển thị giá trong danh sách sản phẩm"
"Display Prices In Sales Modules","Hiển thị giá trong module mua bán"
"Display Prices On Product View Page","Hiển thị giá trong trang hiển thị sản phẩm "
"Enable FPT","Kích họat FPT"
"Excluding FPT","Không bao gồm FPT"
"Excluding FPT, FPT description, final price","Không bao gồm FPT, mô tả FPT, giá cuối cùng"
"Fixed Product Tax","Fixed Product Tax"
"Fixed Product Taxes","Fixed Product Taxes"
"Include FPT In Subtotal","Include FPT In Subtotal"
"Including FPT and FPT description","Bao gồm FPT và mô tả FPT"
"Including FPT and FPT description [incl. FPT VAT]","Bao gồm FPT và mô tả FPT [bao gồm FPT VAT]"
"Including FPT only","Chỉ bao gồm FPT "
"Total","Tổng cộng"
"Total Incl. Tax","Tổng cộng bao gồm Tax"
"Total incl. tax","Tổng cộng bao gồm tax"
