" But cart has some errors."," Nhưng giỏ hàng có một vài lỗi."
"""Description"" is more than %d characters long","""Mô tả"" nhiều hơn %d độ dài ký tự"
"""Title"" is more than %d characters long","""Tiêu đề"" nhiều hơn %d độ dài ký tự"
"""id"" attribute is required for a ""%s"" field.","""id"" thuộc tính được yêu cầu cho trường ""%s"" ."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" thuộc tính được yêu cầu cho thành phần ""multiline""."
"""message"" attribute is required for ""%s"" validator rule.","""message"" thuộc tính được yêu cầu cho rule validator ""%s"" ."
"%1$s has been added to your wishlist.","%1$s đã được thêm vào wishlist của bạn."
"%1$s incl tax.","%1$s bao gồm thuế."
"%s API Key required.","%s API Key required."
"%s Application ID required.","%s Application ID required."
"%s Secret Key required.","%s Secret Key required."
"%s attribute is required.","%s Thuộc tính được yêu cầu."
"%s has been added to your cart.","%s đã được thêm vào giỏ hàng."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)"
"*Subject to change","*Subject to change"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","A Catalog Only App will not support functions such as add to cart, add to wishlist, or login."
"A new password has been sent.","Một mật khẩu mới đã được gởi."
"Account","Tài khỏan"
"Account confirmation is required. Please check your email for the confirmation link.","Xác nhận tài khỏan được yêu cầu. Xin vui lòng kiểm tra email để xác nhận liên kết."
"Account information has been saved.","Thông tin tài khỏan đã được lưu."
"Action","Action"
"Activate","Activate"
"Activate PayPal Checkout","Activate PayPal Checkout"
"Activate PayPal MECL","Activate PayPal MECL"
"Activation Key","Activation Key"
"Add App","Add App"
"Add New Template","Add New Template"
"Add Page","Add Page"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào Wishlist"
"Additional Address","Additional Address"
"Address","Địa chỉ"
"Address 2","Địa chỉ 2"
"Address data not specified.","Dữ liệu địa chỉ không được xác nhận."
"Address does not belong to this customer.","Địa chỉ không thuộc vào khách hàng này."
"Address has been deleted.","Địa chỉ đã được xóa."
"Address has been saved.","Địa chỉ đã được lưu."
"Administrative contact for this app and for app submission issues.","Administrative contact for this app and for app submission issues."
"Advanced Settings","Cài đặt nâng cao"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret."
"AirMail Message Queue","AirMail Message Queue"
"AirMail Messages Queue","AirMail Messages Queue"
"AirMail Template Preview","AirMail Template Preview"
"AirMail message","AirMail message"
"AirMail templates","AirMail templates"
"All Allowed Countries","All Allowed Countries"
"All locations","All locations"
"An account with this email address already exists.","Một tài khỏan với địa chỉ email này đã tồn tại."
"An error occurred while adding item to wishlist.","Một lỗi đã xuất hiện khi thêm sản phẩm vào wishlist."
"An error occurred while deleting the address.","Một lỗi đã xuất hiện khi xóa địa chỉ."
"An error occurred while loading categories.","Một lỗi đã xuất hiện khi tải danh mục."
"An error occurred while loading category filters.","Một lỗi đã xuất hiện khi tải danh mục filters."
"An error occurred while loading wishlist.","Một lỗi đã xuất hiện khi tải wishlist."
"An error occurred while processing your order. Please contact us or try again later.","Một lỗi đã xuất hiện khi xử ký hóa đơn của bạn. Xin vui lòng liên hệ với chung tôi hoặc thử lại sau."
"An error occurred while processing your request.","Một lỗi đã xuất hiện khi xử lý yêu cầu của bạn."
