"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Tất cả các thẻ tín dụng quốc tế / Visa, Mastercard, AMEX, JCB, Diners (sản phẩm của Moneybookers)"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (sản phẩm của Moneybookers) - Ý"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (sản phẩm của Moneybookers) - Pháp"
"Customer ID","Mã số khách hàng"
"Dankort (powered by Moneybookers) - Denmark","Dankort (sản phẩm của Moneybookers) - Đan Mạch"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (sản phẩm của Moneybookers) - Úc"
"Enabled","Bật"
"Find out more about Online Bank Transfer","Tìm hiểu thêm về chuyển khoản trực tuyến"
"Giropay (powered by Moneybookers) - Germany","Giropay (sản phẩm của Moneybookers) - Đức"
"Laser (powered by Moneybookers) - Ireland","Laser (sản phẩm của Moneybookers) - Ai Len"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (sản phẩm của Moneybookers) - Đức"
"Loading secure payment page (SSL)","Đang tải trang theo phương thức bảo mật (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (sản phẩm của Moneybookers) - Anh, Úc, Tây Ban Nha"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Thiết lập Moneybookers"
"Moneybookers Transaction ID: %s","Mã số giao dịch của Moneybookers: %s"
"Moneybookers eWallet","Ví điện tử Moneybookers"
"More information about Moneybookers","Tìm hiểu thêm về Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (sản phẩm của Moneybookers) - Phần Lan"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (psản phẩm của Moneybookers) - Thuỵ Điển"
"Online Bank Transfer (powered by Moneybookers)","Chuyển khoản trực tuyến (sản phẩm của Moneybookers)"
"Order ID","Mã số hoá đơn"
"POLi (powered by Moneybookers) - Australia","POLi (sản phẩm của Moneybookers) - Úc"
"Payment failed.","Thanh toán thất bại."
"Payment from Applicable Countries","Thanh toán ở các quốc gia thích hợp"
"Payment from Specific Countries","Thanh toán ở các quốc gia chỉ định"
"Payment has not been processed yet.","Thanh toán vẫn chưa được xử lý."
"Payment was canceled.","Thanh toán đã bị huỷ bỏ."
"Pending bank transfer created.","Một chuyển khoản ở trạng thái chờ đã được tạo."
"Please pay your order now","Hãy thanh toán hoá đơn của bạn ngay bây giờ"
"Postepay (powered by Moneybookers) - Italy","Postepay (sản phẩm của Moneybookers) - Ý"
"Powered by Moneybookers","Sản phẩm của Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (sản phẩm của Moneybookers) - Ba Lan"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (sản phẩm của Moneybookers) - Đức"
"Sort Order","Thứ tự"
"The amount has been authorized and captured by Moneybookers.","Tổng số tiền đã được chứng thực và thu bơi Moneybookers."
"The customer was redirected to Moneybookers.","Khách hàng đã được chuyển hướng đến Moneybookers."
"The order has been canceled.","Hoá đơn đã bị huỷ bỏ."
"Title","Tiêu đề"
"You will be redirected to our secure payment page when you place an order.","Bạn sẽ được chuyển hướng đến trang thanh toán an toàn của chúng tôi khi đặt hàng."
"eNETS (powered by Moneybookers) - Singapore","eNETS (sản phẩm của Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (sản phẩm của Moneybookers) - Hà Lan"
