"Name ","Naam "
"Description ","Beschrijving "
"Positions","Posities"
"Textile","Textiel"
"Treatments","Behandelingen"
"Textile Treatments","Textielbehandelingen"
"Edit Textile Treatment","Bewerk textielbehandeling"
"New Textile Treatment","Nieuwe textielbehandeling"
"Treatment options","Opties"
"Add Treatment","Behandeling toevoegen"
"Delete Treatment","Behandeling verwijderen"
"Save Treatment","Behandeling opslaan"
"Add new textile position","Nieuwe textielpositie"
"Available treatments:","Beschikbare behandelingen:"
"Textile Position","Textielpositie"
"Customizations","Aanpassingen"
"Textile Presets","Textielpresets"
"Add Preset","Nieuwe preset"
"Save Preset","Preset opslaan"
"Enable ","Actief "
"Use preset:","Gebruik preset:"
"Define custom positions","Definieer uw eigen posities"
"Setup Cost","Instelkost"
